year,fuel_type,asset_id,asset_domain,asset_type,scenario
2061,HPL,F_753526_2717454,building,building_aggregate,hybrid_gas
2062,HPL,F_753526_2717454,building,building_aggregate,hybrid_gas
2063,HPL,F_753526_2717454,building,building_aggregate,hybrid_gas
2064,HPL,F_753526_2717454,building,building_aggregate,hybrid_gas
2065,HPL,F_753526_2717454,building,building_aggregate,hybrid_gas
2020,GAS,F_753629_2717285,building,building_aggregate,hybrid_gas
2021,GAS,F_753629_2717285,building,building_aggregate,hybrid_gas
2022,GAS,F_753629_2717285,building,building_aggregate,hybrid_gas
2023,GAS,F_753629_2717285,building,building_aggregate,hybrid_gas
2024,GAS,F_753629_2717285,building,building_aggregate,hybrid_gas
2025,GAS,F_753629_2717285,building,building_aggregate,hybrid_gas
2026,GAS,F_753629_2717285,building,building_aggregate,hybrid_gas
2027,GAS,F_753629_2717285,building,building_aggregate,hybrid_gas
2028,GAS,F_753629_2717285,building,building_aggregate,hybrid_gas
2029,GAS,F_753629_2717285,building,building_aggregate,hybrid_gas
2030,GAS,F_753629_2717285,building,building_aggregate,hybrid_gas
2031,GAS,F_753629_2717285,building,building_aggregate,hybrid_gas
2032,GAS,F_753629_2717285,building,building_aggregate,hybrid_gas
2033,GAS,F_753629_2717285,building,building_aggregate,hybrid_gas
2034,GAS,F_753629_2717285,building,building_aggregate,hybrid_gas
2035,GAS,F_753629_2717285,building,building_aggregate,hybrid_gas
2036,GAS,F_753629_2717285,building,building_aggregate,hybrid_gas
2037,GAS,F_753629_2717285,building,building_aggregate,hybrid_gas
2038,HPL,F_753629_2717285,building,building_aggregate,hybrid_gas
2039,HPL,F_753629_2717285,building,building_aggregate,hybrid_gas
2040,HPL,F_753629_2717285,building,building_aggregate,hybrid_gas
2041,HPL,F_753629_2717285,building,building_aggregate,hybrid_gas
2042,HPL,F_753629_2717285,building,building_aggregate,hybrid_gas
2043,HPL,F_753629_2717285,building,building_aggregate,hybrid_gas
2044,HPL,F_753629_2717285,building,building_aggregate,hybrid_gas
2045,HPL,F_753629_2717285,building,building_aggregate,hybrid_gas
2046,HPL,F_753629_2717285,building,building_aggregate,hybrid_gas
2047,HPL,F_753629_2717285,building,building_aggregate,hybrid_gas
2048,HPL,F_753629_2717285,building,building_aggregate,hybrid_gas
2049,HPL,F_753629_2717285,building,building_aggregate,hybrid_gas
2050,HPL,F_753629_2717285,building,building_aggregate,hybrid_gas
