year,consumption_emissions,asset_id,energy_type,asset_domain,asset_type,scenario
2038,0.0,F_753432_2717080,fuel_oil,building,building_aggregate,hybrid_gas
2039,0.0,F_753432_2717080,fuel_oil,building,building_aggregate,hybrid_gas
2040,0.0,F_753432_2717080,fuel_oil,building,building_aggregate,hybrid_gas
2041,0.0,F_753432_2717080,fuel_oil,building,building_aggregate,hybrid_gas
2042,0.0,F_753432_2717080,fuel_oil,building,building_aggregate,hybrid_gas
2043,0.0,F_753432_2717080,fuel_oil,building,building_aggregate,hybrid_gas
2044,0.0,F_753432_2717080,fuel_oil,building,building_aggregate,hybrid_gas
2045,0.0,F_753432_2717080,fuel_oil,building,building_aggregate,hybrid_gas
2046,0.0,F_753432_2717080,fuel_oil,building,building_aggregate,hybrid_gas
2047,0.0,F_753432_2717080,fuel_oil,building,building_aggregate,hybrid_gas
2048,0.0,F_753432_2717080,fuel_oil,building,building_aggregate,hybrid_gas
2049,0.0,F_753432_2717080,fuel_oil,building,building_aggregate,hybrid_gas
2050,0.0,F_753432_2717080,fuel_oil,building,building_aggregate,hybrid_gas
2051,0.0,F_753432_2717080,fuel_oil,building,building_aggregate,hybrid_gas
2052,0.0,F_753432_2717080,fuel_oil,building,building_aggregate,hybrid_gas
2053,0.0,F_753432_2717080,fuel_oil,building,building_aggregate,hybrid_gas
2054,0.0,F_753432_2717080,fuel_oil,building,building_aggregate,hybrid_gas
2055,0.0,F_753432_2717080,fuel_oil,building,building_aggregate,hybrid_gas
2056,0.0,F_753432_2717080,fuel_oil,building,building_aggregate,hybrid_gas
2057,0.0,F_753432_2717080,fuel_oil,building,building_aggregate,hybrid_gas
2058,0.0,F_753432_2717080,fuel_oil,building,building_aggregate,hybrid_gas
2059,0.0,F_753432_2717080,fuel_oil,building,building_aggregate,hybrid_gas
2060,0.0,F_753432_2717080,fuel_oil,building,building_aggregate,hybrid_gas
2061,0.0,F_753432_2717080,fuel_oil,building,building_aggregate,hybrid_gas
2062,0.0,F_753432_2717080,fuel_oil,building,building_aggregate,hybrid_gas
2063,0.0,F_753432_2717080,fuel_oil,building,building_aggregate,hybrid_gas
2064,0.0,F_753432_2717080,fuel_oil,building,building_aggregate,hybrid_gas
2065,0.0,F_753432_2717080,fuel_oil,building,building_aggregate,hybrid_gas
2020,8.00422987377614,F_753569_2717047,electricity,building,building_aggregate,hybrid_gas
2021,8.00422987377614,F_753569_2717047,electricity,building,building_aggregate,hybrid_gas
2022,8.00422987377614,F_753569_2717047,electricity,building,building_aggregate,hybrid_gas
2023,8.00422987377614,F_753569_2717047,electricity,building,building_aggregate,hybrid_gas
2024,7.764102977562855,F_753569_2717047,electricity,building,building_aggregate,hybrid_gas
2025,7.531179888235969,F_753569_2717047,electricity,building,building_aggregate,hybrid_gas
2026,7.30524449158889,F_753569_2717047,electricity,building,building_aggregate,hybrid_gas
2027,7.086087156841223,F_753569_2717047,electricity,building,building_aggregate,hybrid_gas
2028,6.873504542135986,F_753569_2717047,electricity,building,building_aggregate,hybrid_gas
2029,6.667299405871907,F_753569_2717047,electricity,building,building_aggregate,hybrid_gas
2030,6.467280423695749,F_753569_2717047,electricity,building,building_aggregate,hybrid_gas
2031,6.273262010984876,F_753569_2717047,electricity,building,building_aggregate,hybrid_gas
2032,9.683745549469169,F_753569_2717047,electricity,building,building_aggregate,hybrid_gas
2033,9.393233182985094,F_753569_2717047,electricity,building,building_aggregate,hybrid_gas
2034,9.11143618749554,F_753569_2717047,electricity,building,building_aggregate,hybrid_gas
2035,8.838093101870674,F_753569_2717047,electricity,building,building_aggregate,hybrid_gas
2036,8.572950308814553,F_753569_2717047,electricity,building,building_aggregate,hybrid_gas
2037,8.315761799550117,F_753569_2717047,electricity,building,building_aggregate,hybrid_gas
2038,8.066288945563613,F_753569_2717047,electricity,building,building_aggregate,hybrid_gas
2039,7.824300277196705,F_753569_2717047,electricity,building,building_aggregate,hybrid_gas
2040,7.589571268880803,F_753569_2717047,electricity,building,building_aggregate,hybrid_gas
2041,7.361884130814379,F_753569_2717047,electricity,building,building_aggregate,hybrid_gas
2042,7.141027606889947,F_753569_2717047,electricity,building,building_aggregate,hybrid_gas
2043,6.926796778683249,F_753569_2717047,electricity,building,building_aggregate,hybrid_gas
2044,6.718992875322751,F_753569_2717047,electricity,building,building_aggregate,hybrid_gas
2045,6.517423089063069,F_753569_2717047,electricity,building,building_aggregate,hybrid_gas
2046,6.321900396391176,F_753569_2717047,electricity,building,building_aggregate,hybrid_gas
2047,6.132243384499441,F_753569_2717047,electricity,building,building_aggregate,hybrid_gas
2048,5.948276082964457,F_753569_2717047,electricity,building,building_aggregate,hybrid_gas
2049,5.769827800475524,F_753569_2717047,electricity,building,building_aggregate,hybrid_gas
2050,5.596732966461257,F_753569_2717047,electricity,building,building_aggregate,hybrid_gas
2051,5.42883097746742,F_753569_2717047,electricity,building,building_aggregate,hybrid_gas
2052,5.2659660481433965,F_753569_2717047,electricity,building,building_aggregate,hybrid_gas
2053,5.107987066699095,F_753569_2717047,electricity,building,building_aggregate,hybrid_gas
2054,4.954747454698121,F_753569_2717047,electricity,building,building_aggregate,hybrid_gas
2055,4.806105031057177,F_753569_2717047,electricity,building,building_aggregate,hybrid_gas
2056,4.661921880125462,F_753569_2717047,electricity,building,building_aggregate,hybrid_gas
2057,4.522064223721698,F_753569_2717047,electricity,building,building_aggregate,hybrid_gas
2058,4.386402297010047,F_753569_2717047,electricity,building,building_aggregate,hybrid_gas
2059,4.254810228099745,F_753569_2717047,electricity,building,building_aggregate,hybrid_gas
2060,4.127165921256752,F_753569_2717047,electricity,building,building_aggregate,hybrid_gas
2061,4.00335094361905,F_753569_2717047,electricity,building,building_aggregate,hybrid_gas
2062,3.883250415310478,F_753569_2717047,electricity,building,building_aggregate,hybrid_gas
2063,3.766752902851163,F_753569_2717047,electricity,building,building_aggregate,hybrid_gas
2064,3.653750315765629,F_753569_2717047,electricity,building,building_aggregate,hybrid_gas
2065,3.544137806292659,F_753569_2717047,electricity,building,building_aggregate,hybrid_gas
2020,12.88220049366071,F_753569_2717047,natural_gas,building,building_aggregate,hybrid_gas
2021,12.88220049366071,F_753569_2717047,natural_gas,building,building_aggregate,hybrid_gas
2022,12.88220049366071,F_753569_2717047,natural_gas,building,building_aggregate,hybrid_gas
2023,12.88220049366071,F_753569_2717047,natural_gas,building,building_aggregate,hybrid_gas
2024,12.88220049366071,F_753569_2717047,natural_gas,building,building_aggregate,hybrid_gas
2025,12.88220049366071,F_753569_2717047,natural_gas,building,building_aggregate,hybrid_gas
2026,12.88220049366071,F_753569_2717047,natural_gas,building,building_aggregate,hybrid_gas
2027,12.88220049366071,F_753569_2717047,natural_gas,building,building_aggregate,hybrid_gas
2028,12.88220049366071,F_753569_2717047,natural_gas,building,building_aggregate,hybrid_gas
2029,12.88220049366071,F_753569_2717047,natural_gas,building,building_aggregate,hybrid_gas
