year,peak_consump,asset_id,energy_type,asset_domain,asset_type,scenario
2043,44.64031661857064,TB002,electricity,elec_network,elec_xmfr,hybrid_gas
2044,48.29380712040998,TB002,electricity,elec_network,elec_xmfr,hybrid_gas
2045,48.29380712040998,TB002,electricity,elec_network,elec_xmfr,hybrid_gas
2046,48.29380712040998,TB002,electricity,elec_network,elec_xmfr,hybrid_gas
2047,48.29380712040998,TB002,electricity,elec_network,elec_xmfr,hybrid_gas
2048,48.29380712040998,TB002,electricity,elec_network,elec_xmfr,hybrid_gas
2049,48.29380712040998,TB002,electricity,elec_network,elec_xmfr,hybrid_gas
2050,48.29380712040998,TB002,electricity,elec_network,elec_xmfr,hybrid_gas
2051,48.29380712040998,TB002,electricity,elec_network,elec_xmfr,hybrid_gas
2052,48.29380712040998,TB002,electricity,elec_network,elec_xmfr,hybrid_gas
2053,48.29380712040998,TB002,electricity,elec_network,elec_xmfr,hybrid_gas
2054,48.29380712040998,TB002,electricity,elec_network,elec_xmfr,hybrid_gas
2055,48.29380712040998,TB002,electricity,elec_network,elec_xmfr,hybrid_gas
2056,48.29380712040998,TB002,electricity,elec_network,elec_xmfr,hybrid_gas
2057,48.29380712040998,TB002,electricity,elec_network,elec_xmfr,hybrid_gas
2058,48.29380712040998,TB002,electricity,elec_network,elec_xmfr,hybrid_gas
2059,48.29380712040998,TB002,electricity,elec_network,elec_xmfr,hybrid_gas
2060,48.29380712040998,TB002,electricity,elec_network,elec_xmfr,hybrid_gas
2061,48.29380712040998,TB002,electricity,elec_network,elec_xmfr,hybrid_gas
2062,48.29380712040998,TB002,electricity,elec_network,elec_xmfr,hybrid_gas
2063,48.29380712040998,TB002,electricity,elec_network,elec_xmfr,hybrid_gas
2064,48.29380712040998,TB002,electricity,elec_network,elec_xmfr,hybrid_gas
2065,48.29380712040998,TB002,electricity,elec_network,elec_xmfr,hybrid_gas
2020,15.716960162820332,TB003,electricity,elec_network,elec_xmfr,hybrid_gas
2021,15.716960162820332,TB003,electricity,elec_network,elec_xmfr,hybrid_gas
2022,15.716960162820332,TB003,electricity,elec_network,elec_xmfr,hybrid_gas
2023,16.00616500138524,TB003,electricity,elec_network,elec_xmfr,hybrid_gas
2024,16.00616500138524,TB003,electricity,elec_network,elec_xmfr,hybrid_gas
2025,16.00616500138524,TB003,electricity,elec_network,elec_xmfr,hybrid_gas
2026,16.00616500138524,TB003,electricity,elec_network,elec_xmfr,hybrid_gas
2027,16.272412728256,TB003,electricity,elec_network,elec_xmfr,hybrid_gas
2028,17.635129843594232,TB003,electricity,elec_network,elec_xmfr,hybrid_gas
2029,19.22248978043948,TB003,electricity,elec_network,elec_xmfr,hybrid_gas
2030,19.22248978043948,TB003,electricity,elec_network,elec_xmfr,hybrid_gas
2031,19.22248978043948,TB003,electricity,elec_network,elec_xmfr,hybrid_gas
2032,19.22248978043948,TB003,electricity,elec_network,elec_xmfr,hybrid_gas
2033,20.99653204144579,TB003,electricity,elec_network,elec_xmfr,hybrid_gas
2034,20.99653204144579,TB003,electricity,elec_network,elec_xmfr,hybrid_gas
2035,20.99653204144579,TB003,electricity,elec_network,elec_xmfr,hybrid_gas
2036,20.99653204144579,TB003,electricity,elec_network,elec_xmfr,hybrid_gas
2037,20.99653204144579,TB003,electricity,elec_network,elec_xmfr,hybrid_gas
2038,20.99653204144579,TB003,electricity,elec_network,elec_xmfr,hybrid_gas
2039,20.99653204144579,TB003,electricity,elec_network,elec_xmfr,hybrid_gas
2040,22.789519607879026,TB003,electricity,elec_network,elec_xmfr,hybrid_gas
2041,24.838939686081247,TB003,electricity,elec_network,elec_xmfr,hybrid_gas
2042,28.887134282896174,TB003,electricity,elec_network,elec_xmfr,hybrid_gas
2043,30.428988386075176,TB003,electricity,elec_network,elec_xmfr,hybrid_gas
2044,30.428988386075176,TB003,electricity,elec_network,elec_xmfr,hybrid_gas
2045,30.428988386075176,TB003,electricity,elec_network,elec_xmfr,hybrid_gas
2046,30.428988386075176,TB003,electricity,elec_network,elec_xmfr,hybrid_gas
2047,30.428988386075176,TB003,electricity,elec_network,elec_xmfr,hybrid_gas
2048,30.428988386075176,TB003,electricity,elec_network,elec_xmfr,hybrid_gas
2049,30.428988386075176,TB003,electricity,elec_network,elec_xmfr,hybrid_gas
2050,30.428988386075176,TB003,electricity,elec_network,elec_xmfr,hybrid_gas
2051,30.428988386075176,TB003,electricity,elec_network,elec_xmfr,hybrid_gas
2052,30.428988386075176,TB003,electricity,elec_network,elec_xmfr,hybrid_gas
2053,30.428988386075176,TB003,electricity,elec_network,elec_xmfr,hybrid_gas
2054,30.428988386075176,TB003,electricity,elec_network,elec_xmfr,hybrid_gas
2055,30.428988386075176,TB003,electricity,elec_network,elec_xmfr,hybrid_gas
2056,30.428988386075176,TB003,electricity,elec_network,elec_xmfr,hybrid_gas
2057,30.428988386075176,TB003,electricity,elec_network,elec_xmfr,hybrid_gas
2058,30.428988386075176,TB003,electricity,elec_network,elec_xmfr,hybrid_gas
2059,30.428988386075176,TB003,electricity,elec_network,elec_xmfr,hybrid_gas
2060,30.428988386075176,TB003,electricity,elec_network,elec_xmfr,hybrid_gas
2061,30.428988386075176,TB003,electricity,elec_network,elec_xmfr,hybrid_gas
2062,30.428988386075176,TB003,electricity,elec_network,elec_xmfr,hybrid_gas
2063,30.428988386075176,TB003,electricity,elec_network,elec_xmfr,hybrid_gas
2064,30.428988386075176,TB003,electricity,elec_network,elec_xmfr,hybrid_gas
2065,30.428988386075176,TB003,electricity,elec_network,elec_xmfr,hybrid_gas
2020,10.087365806883003,TB001,electricity,elec_network,elec_xmfr,natural_elec_higheff
2021,10.087365806883003,TB001,electricity,elec_network,elec_xmfr,natural_elec_higheff
2022,10.906131029389334,TB001,electricity,elec_network,elec_xmfr,natural_elec_higheff
2023,10.906131029389334,TB001,electricity,elec_network,elec_xmfr,natural_elec_higheff
2024,10.906131029389334,TB001,electricity,elec_network,elec_xmfr,natural_elec_higheff
2025,10.906131029389334,TB001,electricity,elec_network,elec_xmfr,natural_elec_higheff
2026,10.906131029389334,TB001,electricity,elec_network,elec_xmfr,natural_elec_higheff
2027,10.906131029389334,TB001,electricity,elec_network,elec_xmfr,natural_elec_higheff
2028,10.906131029389334,TB001,electricity,elec_network,elec_xmfr,natural_elec_higheff
2029,10.906131029389334,TB001,electricity,elec_network,elec_xmfr,natural_elec_higheff
2030,10.906131029389334,TB001,electricity,elec_network,elec_xmfr,natural_elec_higheff
2031,10.906131029389334,TB001,electricity,elec_network,elec_xmfr,natural_elec_higheff
2032,13.89046197704735,TB001,electricity,elec_network,elec_xmfr,natural_elec_higheff
2033,13.89046197704735,TB001,electricity,elec_network,elec_xmfr,natural_elec_higheff
2034,21.26975826685864,TB001,electricity,elec_network,elec_xmfr,natural_elec_higheff
2035,21.26975826685864,TB001,electricity,elec_network,elec_xmfr,natural_elec_higheff
2036,21.26975826685864,TB001,electricity,elec_network,elec_xmfr,natural_elec_higheff
2037,24.79075931213012,TB001,electricity,elec_network,elec_xmfr,natural_elec_higheff
2038,24.79075931213012,TB001,electricity,elec_network,elec_xmfr,natural_elec_higheff
2039,29.42678324527065,TB001,electricity,elec_network,elec_xmfr,natural_elec_higheff
2040,29.42678324527065,TB001,electricity,elec_network,elec_xmfr,natural_elec_higheff
2041,29.42678324527065,TB001,electricity,elec_network,elec_xmfr,natural_elec_higheff
2042,29.42678324527065,TB001,electricity,elec_network,elec_xmfr,natural_elec_higheff
2043,33.61439441026784,TB001,electricity,elec_network,elec_xmfr,natural_elec_higheff
2044,33.61439441026784,TB001,electricity,elec_network,elec_xmfr,natural_elec_higheff
