year,consumption_costs,asset_id,energy_type,asset_domain,asset_type,scenario
2030,0.0,IL_1224309015,propane,building,building_aggregate,managed_elec_high_eff_basic_enc
2031,0.0,IL_1224309015,propane,building,building_aggregate,managed_elec_high_eff_basic_enc
2032,0.0,IL_1224309015,propane,building,building_aggregate,managed_elec_high_eff_basic_enc
2033,0.0,IL_1224309015,propane,building,building_aggregate,managed_elec_high_eff_basic_enc
2034,0.0,IL_1224309015,propane,building,building_aggregate,managed_elec_high_eff_basic_enc
2035,0.0,IL_1224309015,propane,building,building_aggregate,managed_elec_high_eff_basic_enc
2036,0.0,IL_1224309015,propane,building,building_aggregate,managed_elec_high_eff_basic_enc
2037,0.0,IL_1224309015,propane,building,building_aggregate,managed_elec_high_eff_basic_enc
2038,0.0,IL_1224309015,propane,building,building_aggregate,managed_elec_high_eff_basic_enc
2039,0.0,IL_1224309015,propane,building,building_aggregate,managed_elec_high_eff_basic_enc
2040,0.0,IL_1224309015,propane,building,building_aggregate,managed_elec_high_eff_basic_enc
2041,0.0,IL_1224309015,propane,building,building_aggregate,managed_elec_high_eff_basic_enc
2042,0.0,IL_1224309015,propane,building,building_aggregate,managed_elec_high_eff_basic_enc
2043,0.0,IL_1224309015,propane,building,building_aggregate,managed_elec_high_eff_basic_enc
2044,0.0,IL_1224309015,propane,building,building_aggregate,managed_elec_high_eff_basic_enc
2045,0.0,IL_1224309015,propane,building,building_aggregate,managed_elec_high_eff_basic_enc
2046,0.0,IL_1224309015,propane,building,building_aggregate,managed_elec_high_eff_basic_enc
2047,0.0,IL_1224309015,propane,building,building_aggregate,managed_elec_high_eff_basic_enc
2048,0.0,IL_1224309015,propane,building,building_aggregate,managed_elec_high_eff_basic_enc
2049,0.0,IL_1224309015,propane,building,building_aggregate,managed_elec_high_eff_basic_enc
2024,0.0,IL_1224309015,fuel_oil,building,building_aggregate,managed_elec_high_eff_basic_enc
2025,0.0,IL_1224309015,fuel_oil,building,building_aggregate,managed_elec_high_eff_basic_enc
2026,0.0,IL_1224309015,fuel_oil,building,building_aggregate,managed_elec_high_eff_basic_enc
2027,0.0,IL_1224309015,fuel_oil,building,building_aggregate,managed_elec_high_eff_basic_enc
2028,0.0,IL_1224309015,fuel_oil,building,building_aggregate,managed_elec_high_eff_basic_enc
2029,0.0,IL_1224309015,fuel_oil,building,building_aggregate,managed_elec_high_eff_basic_enc
2030,0.0,IL_1224309015,fuel_oil,building,building_aggregate,managed_elec_high_eff_basic_enc
2031,0.0,IL_1224309015,fuel_oil,building,building_aggregate,managed_elec_high_eff_basic_enc
2032,0.0,IL_1224309015,fuel_oil,building,building_aggregate,managed_elec_high_eff_basic_enc
2033,0.0,IL_1224309015,fuel_oil,building,building_aggregate,managed_elec_high_eff_basic_enc
2034,0.0,IL_1224309015,fuel_oil,building,building_aggregate,managed_elec_high_eff_basic_enc
2035,0.0,IL_1224309015,fuel_oil,building,building_aggregate,managed_elec_high_eff_basic_enc
2036,0.0,IL_1224309015,fuel_oil,building,building_aggregate,managed_elec_high_eff_basic_enc
2037,0.0,IL_1224309015,fuel_oil,building,building_aggregate,managed_elec_high_eff_basic_enc
2038,0.0,IL_1224309015,fuel_oil,building,building_aggregate,managed_elec_high_eff_basic_enc
2039,0.0,IL_1224309015,fuel_oil,building,building_aggregate,managed_elec_high_eff_basic_enc
2040,0.0,IL_1224309015,fuel_oil,building,building_aggregate,managed_elec_high_eff_basic_enc
2041,0.0,IL_1224309015,fuel_oil,building,building_aggregate,managed_elec_high_eff_basic_enc
2042,0.0,IL_1224309015,fuel_oil,building,building_aggregate,managed_elec_high_eff_basic_enc
2043,0.0,IL_1224309015,fuel_oil,building,building_aggregate,managed_elec_high_eff_basic_enc
2044,0.0,IL_1224309015,fuel_oil,building,building_aggregate,managed_elec_high_eff_basic_enc
2045,0.0,IL_1224309015,fuel_oil,building,building_aggregate,managed_elec_high_eff_basic_enc
2046,0.0,IL_1224309015,fuel_oil,building,building_aggregate,managed_elec_high_eff_basic_enc
2047,0.0,IL_1224309015,fuel_oil,building,building_aggregate,managed_elec_high_eff_basic_enc
2048,0.0,IL_1224309015,fuel_oil,building,building_aggregate,managed_elec_high_eff_basic_enc
2049,0.0,IL_1224309015,fuel_oil,building,building_aggregate,managed_elec_high_eff_basic_enc
2024,1597.22932725,IL_1224308038,electricity,building,building_aggregate,managed_elec_high_eff_basic_enc
2025,3096.9543265,IL_1224308038,electricity,building,building_aggregate,managed_elec_high_eff_basic_enc
2026,3096.9543265,IL_1224308038,electricity,building,building_aggregate,managed_elec_high_eff_basic_enc
2027,3096.9543265,IL_1224308038,electricity,building,building_aggregate,managed_elec_high_eff_basic_enc
2028,3096.9543265,IL_1224308038,electricity,building,building_aggregate,managed_elec_high_eff_basic_enc
2029,3096.9543265,IL_1224308038,electricity,building,building_aggregate,managed_elec_high_eff_basic_enc
2030,3096.9543265,IL_1224308038,electricity,building,building_aggregate,managed_elec_high_eff_basic_enc
2031,3096.9543265,IL_1224308038,electricity,building,building_aggregate,managed_elec_high_eff_basic_enc
2032,3096.9543265,IL_1224308038,electricity,building,building_aggregate,managed_elec_high_eff_basic_enc
2033,3096.9543265,IL_1224308038,electricity,building,building_aggregate,managed_elec_high_eff_basic_enc
2034,3096.9543265,IL_1224308038,electricity,building,building_aggregate,managed_elec_high_eff_basic_enc
2035,3096.9543265,IL_1224308038,electricity,building,building_aggregate,managed_elec_high_eff_basic_enc
2036,3096.9543265,IL_1224308038,electricity,building,building_aggregate,managed_elec_high_eff_basic_enc
2037,3096.9543265,IL_1224308038,electricity,building,building_aggregate,managed_elec_high_eff_basic_enc
2038,3096.9543265,IL_1224308038,electricity,building,building_aggregate,managed_elec_high_eff_basic_enc
2039,3096.9543265,IL_1224308038,electricity,building,building_aggregate,managed_elec_high_eff_basic_enc
2040,3096.9543265,IL_1224308038,electricity,building,building_aggregate,managed_elec_high_eff_basic_enc
2041,3096.9543265,IL_1224308038,electricity,building,building_aggregate,managed_elec_high_eff_basic_enc
2042,3096.9543265,IL_1224308038,electricity,building,building_aggregate,managed_elec_high_eff_basic_enc
2043,3096.9543265,IL_1224308038,electricity,building,building_aggregate,managed_elec_high_eff_basic_enc
2044,3096.9543265,IL_1224308038,electricity,building,building_aggregate,managed_elec_high_eff_basic_enc
2045,3096.9543265,IL_1224308038,electricity,building,building_aggregate,managed_elec_high_eff_basic_enc
2046,3096.9543265,IL_1224308038,electricity,building,building_aggregate,managed_elec_high_eff_basic_enc
2047,3096.9543265,IL_1224308038,electricity,building,building_aggregate,managed_elec_high_eff_basic_enc
2048,3096.9543265,IL_1224308038,electricity,building,building_aggregate,managed_elec_high_eff_basic_enc
2049,3096.9543265,IL_1224308038,electricity,building,building_aggregate,managed_elec_high_eff_basic_enc
2024,3547.338315801752,IL_1224308038,natural_gas,building,building_aggregate,managed_elec_high_eff_basic_enc
2025,0.0,IL_1224308038,natural_gas,building,building_aggregate,managed_elec_high_eff_basic_enc
2026,0.0,IL_1224308038,natural_gas,building,building_aggregate,managed_elec_high_eff_basic_enc
2027,0.0,IL_1224308038,natural_gas,building,building_aggregate,managed_elec_high_eff_basic_enc
2028,0.0,IL_1224308038,natural_gas,building,building_aggregate,managed_elec_high_eff_basic_enc
2029,0.0,IL_1224308038,natural_gas,building,building_aggregate,managed_elec_high_eff_basic_enc
2030,0.0,IL_1224308038,natural_gas,building,building_aggregate,managed_elec_high_eff_basic_enc
2031,0.0,IL_1224308038,natural_gas,building,building_aggregate,managed_elec_high_eff_basic_enc
2032,0.0,IL_1224308038,natural_gas,building,building_aggregate,managed_elec_high_eff_basic_enc
2033,0.0,IL_1224308038,natural_gas,building,building_aggregate,managed_elec_high_eff_basic_enc
2034,0.0,IL_1224308038,natural_gas,building,building_aggregate,managed_elec_high_eff_basic_enc
2035,0.0,IL_1224308038,natural_gas,building,building_aggregate,managed_elec_high_eff_basic_enc
2036,0.0,IL_1224308038,natural_gas,building,building_aggregate,managed_elec_high_eff_basic_enc
2037,0.0,IL_1224308038,natural_gas,building,building_aggregate,managed_elec_high_eff_basic_enc
2038,0.0,IL_1224308038,natural_gas,building,building_aggregate,managed_elec_high_eff_basic_enc
2039,0.0,IL_1224308038,natural_gas,building,building_aggregate,managed_elec_high_eff_basic_enc
2040,0.0,IL_1224308038,natural_gas,building,building_aggregate,managed_elec_high_eff_basic_enc
2041,0.0,IL_1224308038,natural_gas,building,building_aggregate,managed_elec_high_eff_basic_enc
2042,0.0,IL_1224308038,natural_gas,building,building_aggregate,managed_elec_high_eff_basic_enc
2043,0.0,IL_1224308038,natural_gas,building,building_aggregate,managed_elec_high_eff_basic_enc
2044,0.0,IL_1224308038,natural_gas,building,building_aggregate,managed_elec_high_eff_basic_enc
2045,0.0,IL_1224308038,natural_gas,building,building_aggregate,managed_elec_high_eff_basic_enc
2046,0.0,IL_1224308038,natural_gas,building,building_aggregate,managed_elec_high_eff_basic_enc
2047,0.0,IL_1224308038,natural_gas,building,building_aggregate,managed_elec_high_eff_basic_enc
2048,0.0,IL_1224308038,natural_gas,building,building_aggregate,managed_elec_high_eff_basic_enc
2049,0.0,IL_1224308038,natural_gas,building,building_aggregate,managed_elec_high_eff_basic_enc
2024,0.0,IL_1224308038,propane,building,building_aggregate,managed_elec_high_eff_basic_enc
2025,0.0,IL_1224308038,propane,building,building_aggregate,managed_elec_high_eff_basic_enc
2026,0.0,IL_1224308038,propane,building,building_aggregate,managed_elec_high_eff_basic_enc
2027,0.0,IL_1224308038,propane,building,building_aggregate,managed_elec_high_eff_basic_enc
2028,0.0,IL_1224308038,propane,building,building_aggregate,managed_elec_high_eff_basic_enc
2029,0.0,IL_1224308038,propane,building,building_aggregate,managed_elec_high_eff_basic_enc
2030,0.0,IL_1224308038,propane,building,building_aggregate,managed_elec_high_eff_basic_enc
2031,0.0,IL_1224308038,propane,building,building_aggregate,managed_elec_high_eff_basic_enc
2032,0.0,IL_1224308038,propane,building,building_aggregate,managed_elec_high_eff_basic_enc
2033,0.0,IL_1224308038,propane,building,building_aggregate,managed_elec_high_eff_basic_enc
2034,0.0,IL_1224308038,propane,building,building_aggregate,managed_elec_high_eff_basic_enc
2035,0.0,IL_1224308038,propane,building,building_aggregate,managed_elec_high_eff_basic_enc
2036,0.0,IL_1224308038,propane,building,building_aggregate,managed_elec_high_eff_basic_enc
2037,0.0,IL_1224308038,propane,building,building_aggregate,managed_elec_high_eff_basic_enc
2038,0.0,IL_1224308038,propane,building,building_aggregate,managed_elec_high_eff_basic_enc
2039,0.0,IL_1224308038,propane,building,building_aggregate,managed_elec_high_eff_basic_enc
2040,0.0,IL_1224308038,propane,building,building_aggregate,managed_elec_high_eff_basic_enc
2041,0.0,IL_1224308038,propane,building,building_aggregate,managed_elec_high_eff_basic_enc
2042,0.0,IL_1224308038,propane,building,building_aggregate,managed_elec_high_eff_basic_enc
2043,0.0,IL_1224308038,propane,building,building_aggregate,managed_elec_high_eff_basic_enc
2044,0.0,IL_1224308038,propane,building,building_aggregate,managed_elec_high_eff_basic_enc
2045,0.0,IL_1224308038,propane,building,building_aggregate,managed_elec_high_eff_basic_enc
2046,0.0,IL_1224308038,propane,building,building_aggregate,managed_elec_high_eff_basic_enc
2047,0.0,IL_1224308038,propane,building,building_aggregate,managed_elec_high_eff_basic_enc
2048,0.0,IL_1224308038,propane,building,building_aggregate,managed_elec_high_eff_basic_enc
2049,0.0,IL_1224308038,propane,building,building_aggregate,managed_elec_high_eff_basic_enc
2024,0.0,IL_1224308038,fuel_oil,building,building_aggregate,managed_elec_high_eff_basic_enc
2025,0.0,IL_1224308038,fuel_oil,building,building_aggregate,managed_elec_high_eff_basic_enc
2026,0.0,IL_1224308038,fuel_oil,building,building_aggregate,managed_elec_high_eff_basic_enc
2027,0.0,IL_1224308038,fuel_oil,building,building_aggregate,managed_elec_high_eff_basic_enc
2028,0.0,IL_1224308038,fuel_oil,building,building_aggregate,managed_elec_high_eff_basic_enc
2029,0.0,IL_1224308038,fuel_oil,building,building_aggregate,managed_elec_high_eff_basic_enc
2030,0.0,IL_1224308038,fuel_oil,building,building_aggregate,managed_elec_high_eff_basic_enc
2031,0.0,IL_1224308038,fuel_oil,building,building_aggregate,managed_elec_high_eff_basic_enc
2032,0.0,IL_1224308038,fuel_oil,building,building_aggregate,managed_elec_high_eff_basic_enc
2033,0.0,IL_1224308038,fuel_oil,building,building_aggregate,managed_elec_high_eff_basic_enc
