year,consumption,asset_id,energy_type,asset_domain,asset_type,scenario
2046,0.0,IL_1224309006,propane,building,building_aggregate,continued_gas
2047,0.0,IL_1224309006,propane,building,building_aggregate,continued_gas
2048,0.0,IL_1224309006,propane,building,building_aggregate,continued_gas
2049,0.0,IL_1224309006,propane,building,building_aggregate,continued_gas
2024,0.0,IL_1224309006,fuel_oil,building,building_aggregate,continued_gas
2025,0.0,IL_1224309006,fuel_oil,building,building_aggregate,continued_gas
2026,0.0,IL_1224309006,fuel_oil,building,building_aggregate,continued_gas
2027,0.0,IL_1224309006,fuel_oil,building,building_aggregate,continued_gas
2028,0.0,IL_1224309006,fuel_oil,building,building_aggregate,continued_gas
2029,0.0,IL_1224309006,fuel_oil,building,building_aggregate,continued_gas
2030,0.0,IL_1224309006,fuel_oil,building,building_aggregate,continued_gas
2031,0.0,IL_1224309006,fuel_oil,building,building_aggregate,continued_gas
2032,0.0,IL_1224309006,fuel_oil,building,building_aggregate,continued_gas
2033,0.0,IL_1224309006,fuel_oil,building,building_aggregate,continued_gas
2034,0.0,IL_1224309006,fuel_oil,building,building_aggregate,continued_gas
2035,0.0,IL_1224309006,fuel_oil,building,building_aggregate,continued_gas
2036,0.0,IL_1224309006,fuel_oil,building,building_aggregate,continued_gas
2037,0.0,IL_1224309006,fuel_oil,building,building_aggregate,continued_gas
2038,0.0,IL_1224309006,fuel_oil,building,building_aggregate,continued_gas
2039,0.0,IL_1224309006,fuel_oil,building,building_aggregate,continued_gas
2040,0.0,IL_1224309006,fuel_oil,building,building_aggregate,continued_gas
2041,0.0,IL_1224309006,fuel_oil,building,building_aggregate,continued_gas
2042,0.0,IL_1224309006,fuel_oil,building,building_aggregate,continued_gas
2043,0.0,IL_1224309006,fuel_oil,building,building_aggregate,continued_gas
2044,0.0,IL_1224309006,fuel_oil,building,building_aggregate,continued_gas
2045,0.0,IL_1224309006,fuel_oil,building,building_aggregate,continued_gas
2046,0.0,IL_1224309006,fuel_oil,building,building_aggregate,continued_gas
2047,0.0,IL_1224309006,fuel_oil,building,building_aggregate,continued_gas
2048,0.0,IL_1224309006,fuel_oil,building,building_aggregate,continued_gas
2049,0.0,IL_1224309006,fuel_oil,building,building_aggregate,continued_gas
2024,6796.889,IL_1224309015,electricity,building,building_aggregate,continued_gas
2025,6796.889,IL_1224309015,electricity,building,building_aggregate,continued_gas
2026,6796.889,IL_1224309015,electricity,building,building_aggregate,continued_gas
2027,6796.889,IL_1224309015,electricity,building,building_aggregate,continued_gas
2028,6796.889,IL_1224309015,electricity,building,building_aggregate,continued_gas
2029,6796.889,IL_1224309015,electricity,building,building_aggregate,continued_gas
2030,6796.889,IL_1224309015,electricity,building,building_aggregate,continued_gas
2031,6796.889,IL_1224309015,electricity,building,building_aggregate,continued_gas
2032,6796.889,IL_1224309015,electricity,building,building_aggregate,continued_gas
2033,6796.889,IL_1224309015,electricity,building,building_aggregate,continued_gas
2034,6796.889,IL_1224309015,electricity,building,building_aggregate,continued_gas
2035,6796.889,IL_1224309015,electricity,building,building_aggregate,continued_gas
2036,6796.889,IL_1224309015,electricity,building,building_aggregate,continued_gas
2037,6796.889,IL_1224309015,electricity,building,building_aggregate,continued_gas
2038,6796.889,IL_1224309015,electricity,building,building_aggregate,continued_gas
2039,6796.889,IL_1224309015,electricity,building,building_aggregate,continued_gas
2040,6796.889,IL_1224309015,electricity,building,building_aggregate,continued_gas
2041,6796.889,IL_1224309015,electricity,building,building_aggregate,continued_gas
2042,6796.889,IL_1224309015,electricity,building,building_aggregate,continued_gas
2043,6796.889,IL_1224309015,electricity,building,building_aggregate,continued_gas
2044,6796.889,IL_1224309015,electricity,building,building_aggregate,continued_gas
2045,6796.889,IL_1224309015,electricity,building,building_aggregate,continued_gas
2046,6796.889,IL_1224309015,electricity,building,building_aggregate,continued_gas
2047,6796.889,IL_1224309015,electricity,building,building_aggregate,continued_gas
2048,6796.889,IL_1224309015,electricity,building,building_aggregate,continued_gas
2049,6796.889,IL_1224309015,electricity,building,building_aggregate,continued_gas
2024,22805.814008059224,IL_1224309015,natural_gas,building,building_aggregate,continued_gas
2025,22805.814008059224,IL_1224309015,natural_gas,building,building_aggregate,continued_gas
2026,22805.814008059224,IL_1224309015,natural_gas,building,building_aggregate,continued_gas
2027,22805.814008059224,IL_1224309015,natural_gas,building,building_aggregate,continued_gas
2028,22805.814008059224,IL_1224309015,natural_gas,building,building_aggregate,continued_gas
2029,22805.814008059224,IL_1224309015,natural_gas,building,building_aggregate,continued_gas
2030,22805.814008059224,IL_1224309015,natural_gas,building,building_aggregate,continued_gas
2031,22805.814008059224,IL_1224309015,natural_gas,building,building_aggregate,continued_gas
2032,22805.814008059224,IL_1224309015,natural_gas,building,building_aggregate,continued_gas
2033,22805.814008059224,IL_1224309015,natural_gas,building,building_aggregate,continued_gas
2034,22805.814008059224,IL_1224309015,natural_gas,building,building_aggregate,continued_gas
2035,22805.814008059224,IL_1224309015,natural_gas,building,building_aggregate,continued_gas
2036,22805.814008059224,IL_1224309015,natural_gas,building,building_aggregate,continued_gas
2037,22805.814008059224,IL_1224309015,natural_gas,building,building_aggregate,continued_gas
2038,22805.814008059224,IL_1224309015,natural_gas,building,building_aggregate,continued_gas
2039,22805.814008059224,IL_1224309015,natural_gas,building,building_aggregate,continued_gas
2040,22805.814008059224,IL_1224309015,natural_gas,building,building_aggregate,continued_gas
2041,22805.814008059224,IL_1224309015,natural_gas,building,building_aggregate,continued_gas
2042,22805.814008059224,IL_1224309015,natural_gas,building,building_aggregate,continued_gas
2043,22805.814008059224,IL_1224309015,natural_gas,building,building_aggregate,continued_gas
2044,22805.814008059224,IL_1224309015,natural_gas,building,building_aggregate,continued_gas
2045,22805.814008059224,IL_1224309015,natural_gas,building,building_aggregate,continued_gas
2046,22805.814008059224,IL_1224309015,natural_gas,building,building_aggregate,continued_gas
2047,22805.814008059224,IL_1224309015,natural_gas,building,building_aggregate,continued_gas
2048,22805.814008059224,IL_1224309015,natural_gas,building,building_aggregate,continued_gas
2049,22805.814008059224,IL_1224309015,natural_gas,building,building_aggregate,continued_gas
2024,0.0,IL_1224309015,propane,building,building_aggregate,continued_gas
2025,0.0,IL_1224309015,propane,building,building_aggregate,continued_gas
2026,0.0,IL_1224309015,propane,building,building_aggregate,continued_gas
2027,0.0,IL_1224309015,propane,building,building_aggregate,continued_gas
2028,0.0,IL_1224309015,propane,building,building_aggregate,continued_gas
2029,0.0,IL_1224309015,propane,building,building_aggregate,continued_gas
2030,0.0,IL_1224309015,propane,building,building_aggregate,continued_gas
2031,0.0,IL_1224309015,propane,building,building_aggregate,continued_gas
2032,0.0,IL_1224309015,propane,building,building_aggregate,continued_gas
2033,0.0,IL_1224309015,propane,building,building_aggregate,continued_gas
2034,0.0,IL_1224309015,propane,building,building_aggregate,continued_gas
2035,0.0,IL_1224309015,propane,building,building_aggregate,continued_gas
2036,0.0,IL_1224309015,propane,building,building_aggregate,continued_gas
2037,0.0,IL_1224309015,propane,building,building_aggregate,continued_gas
2038,0.0,IL_1224309015,propane,building,building_aggregate,continued_gas
2039,0.0,IL_1224309015,propane,building,building_aggregate,continued_gas
2040,0.0,IL_1224309015,propane,building,building_aggregate,continued_gas
2041,0.0,IL_1224309015,propane,building,building_aggregate,continued_gas
2042,0.0,IL_1224309015,propane,building,building_aggregate,continued_gas
2043,0.0,IL_1224309015,propane,building,building_aggregate,continued_gas
2044,0.0,IL_1224309015,propane,building,building_aggregate,continued_gas
2045,0.0,IL_1224309015,propane,building,building_aggregate,continued_gas
2046,0.0,IL_1224309015,propane,building,building_aggregate,continued_gas
2047,0.0,IL_1224309015,propane,building,building_aggregate,continued_gas
2048,0.0,IL_1224309015,propane,building,building_aggregate,continued_gas
2049,0.0,IL_1224309015,propane,building,building_aggregate,continued_gas
2024,0.0,IL_1224309015,fuel_oil,building,building_aggregate,continued_gas
2025,0.0,IL_1224309015,fuel_oil,building,building_aggregate,continued_gas
2026,0.0,IL_1224309015,fuel_oil,building,building_aggregate,continued_gas
2027,0.0,IL_1224309015,fuel_oil,building,building_aggregate,continued_gas
2028,0.0,IL_1224309015,fuel_oil,building,building_aggregate,continued_gas
2029,0.0,IL_1224309015,fuel_oil,building,building_aggregate,continued_gas
2030,0.0,IL_1224309015,fuel_oil,building,building_aggregate,continued_gas
2031,0.0,IL_1224309015,fuel_oil,building,building_aggregate,continued_gas
2032,0.0,IL_1224309015,fuel_oil,building,building_aggregate,continued_gas
2033,0.0,IL_1224309015,fuel_oil,building,building_aggregate,continued_gas
2034,0.0,IL_1224309015,fuel_oil,building,building_aggregate,continued_gas
2035,0.0,IL_1224309015,fuel_oil,building,building_aggregate,continued_gas
2036,0.0,IL_1224309015,fuel_oil,building,building_aggregate,continued_gas
2037,0.0,IL_1224309015,fuel_oil,building,building_aggregate,continued_gas
2038,0.0,IL_1224309015,fuel_oil,building,building_aggregate,continued_gas
2039,0.0,IL_1224309015,fuel_oil,building,building_aggregate,continued_gas
2040,0.0,IL_1224309015,fuel_oil,building,building_aggregate,continued_gas
2041,0.0,IL_1224309015,fuel_oil,building,building_aggregate,continued_gas
2042,0.0,IL_1224309015,fuel_oil,building,building_aggregate,continued_gas
2043,0.0,IL_1224309015,fuel_oil,building,building_aggregate,continued_gas
2044,0.0,IL_1224309015,fuel_oil,building,building_aggregate,continued_gas
2045,0.0,IL_1224309015,fuel_oil,building,building_aggregate,continued_gas
2046,0.0,IL_1224309015,fuel_oil,building,building_aggregate,continued_gas
2047,0.0,IL_1224309015,fuel_oil,building,building_aggregate,continued_gas
2048,0.0,IL_1224309015,fuel_oil,building,building_aggregate,continued_gas
2049,0.0,IL_1224309015,fuel_oil,building,building_aggregate,continued_gas
2024,10109.046375,IL_1224308038,electricity,building,building_aggregate,continued_gas
2025,10109.046375,IL_1224308038,electricity,building,building_aggregate,continued_gas
2026,10109.046375,IL_1224308038,electricity,building,building_aggregate,continued_gas
2027,10109.046375,IL_1224308038,electricity,building,building_aggregate,continued_gas
2028,10109.046375,IL_1224308038,electricity,building,building_aggregate,continued_gas
2029,10109.046375,IL_1224308038,electricity,building,building_aggregate,continued_gas
2030,10109.046375,IL_1224308038,electricity,building,building_aggregate,continued_gas
2031,10109.046375,IL_1224308038,electricity,building,building_aggregate,continued_gas
2032,10109.046375,IL_1224308038,electricity,building,building_aggregate,continued_gas
2033,10109.046375,IL_1224308038,electricity,building,building_aggregate,continued_gas
2034,10109.046375,IL_1224308038,electricity,building,building_aggregate,continued_gas
2035,10109.046375,IL_1224308038,electricity,building,building_aggregate,continued_gas
2036,10109.046375,IL_1224308038,electricity,building,building_aggregate,continued_gas
2037,10109.046375,IL_1224308038,electricity,building,building_aggregate,continued_gas
2038,10109.046375,IL_1224308038,electricity,building,building_aggregate,continued_gas
2039,10109.046375,IL_1224308038,electricity,building,building_aggregate,continued_gas
2040,10109.046375,IL_1224308038,electricity,building,building_aggregate,continued_gas
2041,10109.046375,IL_1224308038,electricity,building,building_aggregate,continued_gas
2042,10109.046375,IL_1224308038,electricity,building,building_aggregate,continued_gas
2043,10109.046375,IL_1224308038,electricity,building,building_aggregate,continued_gas
