year,peak_consump,asset_id,energy_type,asset_domain,asset_type,scenario
2042,69.55,TB_3,electricity,elec_network,elec_xmfr,ex_managed_elec_1_hp_rate
2043,69.55,TB_3,electricity,elec_network,elec_xmfr,ex_managed_elec_1_hp_rate
2044,69.55,TB_3,electricity,elec_network,elec_xmfr,ex_managed_elec_1_hp_rate
2045,69.55,TB_3,electricity,elec_network,elec_xmfr,ex_managed_elec_1_hp_rate
2046,69.55,TB_3,electricity,elec_network,elec_xmfr,ex_managed_elec_1_hp_rate
2047,69.55,TB_3,electricity,elec_network,elec_xmfr,ex_managed_elec_1_hp_rate
2048,69.55,TB_3,electricity,elec_network,elec_xmfr,ex_managed_elec_1_hp_rate
2049,69.55,TB_3,electricity,elec_network,elec_xmfr,ex_managed_elec_1_hp_rate
2025,15.832,TB_4,electricity,elec_network,elec_xmfr,ex_managed_elec_1_hp_rate
2026,15.832,TB_4,electricity,elec_network,elec_xmfr,ex_managed_elec_1_hp_rate
2027,15.832,TB_4,electricity,elec_network,elec_xmfr,ex_managed_elec_1_hp_rate
2028,15.832,TB_4,electricity,elec_network,elec_xmfr,ex_managed_elec_1_hp_rate
2029,15.832,TB_4,electricity,elec_network,elec_xmfr,ex_managed_elec_1_hp_rate
2030,78.319,TB_4,electricity,elec_network,elec_xmfr,ex_managed_elec_1_hp_rate
2031,78.319,TB_4,electricity,elec_network,elec_xmfr,ex_managed_elec_1_hp_rate
2032,78.319,TB_4,electricity,elec_network,elec_xmfr,ex_managed_elec_1_hp_rate
2033,78.319,TB_4,electricity,elec_network,elec_xmfr,ex_managed_elec_1_hp_rate
2034,78.319,TB_4,electricity,elec_network,elec_xmfr,ex_managed_elec_1_hp_rate
2035,78.319,TB_4,electricity,elec_network,elec_xmfr,ex_managed_elec_1_hp_rate
2036,78.319,TB_4,electricity,elec_network,elec_xmfr,ex_managed_elec_1_hp_rate
2037,78.319,TB_4,electricity,elec_network,elec_xmfr,ex_managed_elec_1_hp_rate
2038,78.319,TB_4,electricity,elec_network,elec_xmfr,ex_managed_elec_1_hp_rate
2039,78.319,TB_4,electricity,elec_network,elec_xmfr,ex_managed_elec_1_hp_rate
2040,78.319,TB_4,electricity,elec_network,elec_xmfr,ex_managed_elec_1_hp_rate
2041,78.319,TB_4,electricity,elec_network,elec_xmfr,ex_managed_elec_1_hp_rate
2042,78.319,TB_4,electricity,elec_network,elec_xmfr,ex_managed_elec_1_hp_rate
2043,78.319,TB_4,electricity,elec_network,elec_xmfr,ex_managed_elec_1_hp_rate
2044,78.319,TB_4,electricity,elec_network,elec_xmfr,ex_managed_elec_1_hp_rate
2045,78.319,TB_4,electricity,elec_network,elec_xmfr,ex_managed_elec_1_hp_rate
2046,78.319,TB_4,electricity,elec_network,elec_xmfr,ex_managed_elec_1_hp_rate
2047,78.319,TB_4,electricity,elec_network,elec_xmfr,ex_managed_elec_1_hp_rate
2048,78.319,TB_4,electricity,elec_network,elec_xmfr,ex_managed_elec_1_hp_rate
2049,78.319,TB_4,electricity,elec_network,elec_xmfr,ex_managed_elec_1_hp_rate
2025,20.101,TB_1,electricity,elec_network,elec_xmfr,ex_uten
2026,20.101,TB_1,electricity,elec_network,elec_xmfr,ex_uten
2027,20.101,TB_1,electricity,elec_network,elec_xmfr,ex_uten
2028,20.101,TB_1,electricity,elec_network,elec_xmfr,ex_uten
2029,20.101,TB_1,electricity,elec_network,elec_xmfr,ex_uten
2030,22.845999999999997,TB_1,electricity,elec_network,elec_xmfr,ex_uten
2031,22.845999999999997,TB_1,electricity,elec_network,elec_xmfr,ex_uten
2032,22.845999999999997,TB_1,electricity,elec_network,elec_xmfr,ex_uten
2033,22.845999999999997,TB_1,electricity,elec_network,elec_xmfr,ex_uten
2034,22.845999999999997,TB_1,electricity,elec_network,elec_xmfr,ex_uten
2035,22.845999999999997,TB_1,electricity,elec_network,elec_xmfr,ex_uten
2036,22.845999999999997,TB_1,electricity,elec_network,elec_xmfr,ex_uten
2037,22.845999999999997,TB_1,electricity,elec_network,elec_xmfr,ex_uten
2038,22.845999999999997,TB_1,electricity,elec_network,elec_xmfr,ex_uten
2039,22.845999999999997,TB_1,electricity,elec_network,elec_xmfr,ex_uten
2040,22.845999999999997,TB_1,electricity,elec_network,elec_xmfr,ex_uten
2041,22.845999999999997,TB_1,electricity,elec_network,elec_xmfr,ex_uten
2042,22.845999999999997,TB_1,electricity,elec_network,elec_xmfr,ex_uten
2043,22.845999999999997,TB_1,electricity,elec_network,elec_xmfr,ex_uten
2044,22.845999999999997,TB_1,electricity,elec_network,elec_xmfr,ex_uten
2045,22.845999999999997,TB_1,electricity,elec_network,elec_xmfr,ex_uten
2046,22.845999999999997,TB_1,electricity,elec_network,elec_xmfr,ex_uten
2047,22.845999999999997,TB_1,electricity,elec_network,elec_xmfr,ex_uten
2048,22.845999999999997,TB_1,electricity,elec_network,elec_xmfr,ex_uten
2049,22.845999999999997,TB_1,electricity,elec_network,elec_xmfr,ex_uten
2025,15.25,TB_2,electricity,elec_network,elec_xmfr,ex_uten
2026,15.25,TB_2,electricity,elec_network,elec_xmfr,ex_uten
2027,15.25,TB_2,electricity,elec_network,elec_xmfr,ex_uten
2028,15.25,TB_2,electricity,elec_network,elec_xmfr,ex_uten
2029,15.25,TB_2,electricity,elec_network,elec_xmfr,ex_uten
2030,16.988,TB_2,electricity,elec_network,elec_xmfr,ex_uten
2031,16.988,TB_2,electricity,elec_network,elec_xmfr,ex_uten
2032,16.988,TB_2,electricity,elec_network,elec_xmfr,ex_uten
2033,16.988,TB_2,electricity,elec_network,elec_xmfr,ex_uten
2034,16.988,TB_2,electricity,elec_network,elec_xmfr,ex_uten
