year,fuel_type,asset_id,asset_domain,asset_type,scenario
2030,TEN,EX_020,building,building_aggregate,ex_uten
2031,TEN,EX_020,building,building_aggregate,ex_uten
2032,TEN,EX_020,building,building_aggregate,ex_uten
2033,TEN,EX_020,building,building_aggregate,ex_uten
2034,TEN,EX_020,building,building_aggregate,ex_uten
2035,TEN,EX_020,building,building_aggregate,ex_uten
2036,TEN,EX_020,building,building_aggregate,ex_uten
2037,TEN,EX_020,building,building_aggregate,ex_uten
2038,TEN,EX_020,building,building_aggregate,ex_uten
2039,TEN,EX_020,building,building_aggregate,ex_uten
2040,TEN,EX_020,building,building_aggregate,ex_uten
2041,TEN,EX_020,building,building_aggregate,ex_uten
2042,TEN,EX_020,building,building_aggregate,ex_uten
2043,TEN,EX_020,building,building_aggregate,ex_uten
2044,TEN,EX_020,building,building_aggregate,ex_uten
2045,TEN,EX_020,building,building_aggregate,ex_uten
2046,TEN,EX_020,building,building_aggregate,ex_uten
2047,TEN,EX_020,building,building_aggregate,ex_uten
2048,TEN,EX_020,building,building_aggregate,ex_uten
2049,TEN,EX_020,building,building_aggregate,ex_uten
2025,GAS,EX_001,building,building_aggregate,ex_managed_elec_2
2026,GAS,EX_001,building,building_aggregate,ex_managed_elec_2
2027,GAS,EX_001,building,building_aggregate,ex_managed_elec_2
2028,GAS,EX_001,building,building_aggregate,ex_managed_elec_2
2029,GAS,EX_001,building,building_aggregate,ex_managed_elec_2
2030,ELEC,EX_001,building,building_aggregate,ex_managed_elec_2
2031,ELEC,EX_001,building,building_aggregate,ex_managed_elec_2
2032,ELEC,EX_001,building,building_aggregate,ex_managed_elec_2
2033,ELEC,EX_001,building,building_aggregate,ex_managed_elec_2
2034,ELEC,EX_001,building,building_aggregate,ex_managed_elec_2
