year,fuel_type,asset_id,asset_domain,asset_type,scenario
2042,TEN,EX_005,building,building_aggregate,ex_uten
2043,TEN,EX_005,building,building_aggregate,ex_uten
2044,TEN,EX_005,building,building_aggregate,ex_uten
2045,TEN,EX_005,building,building_aggregate,ex_uten
2046,TEN,EX_005,building,building_aggregate,ex_uten
2047,TEN,EX_005,building,building_aggregate,ex_uten
2048,TEN,EX_005,building,building_aggregate,ex_uten
2049,TEN,EX_005,building,building_aggregate,ex_uten
2025,GAS,EX_006,building,building_aggregate,ex_uten
2026,GAS,EX_006,building,building_aggregate,ex_uten
2027,GAS,EX_006,building,building_aggregate,ex_uten
2028,GAS,EX_006,building,building_aggregate,ex_uten
2029,GAS,EX_006,building,building_aggregate,ex_uten
2030,TEN,EX_006,building,building_aggregate,ex_uten
2031,TEN,EX_006,building,building_aggregate,ex_uten
2032,TEN,EX_006,building,building_aggregate,ex_uten
2033,TEN,EX_006,building,building_aggregate,ex_uten
2034,TEN,EX_006,building,building_aggregate,ex_uten
2035,TEN,EX_006,building,building_aggregate,ex_uten
2036,TEN,EX_006,building,building_aggregate,ex_uten
2037,TEN,EX_006,building,building_aggregate,ex_uten
2038,TEN,EX_006,building,building_aggregate,ex_uten
2039,TEN,EX_006,building,building_aggregate,ex_uten
2040,TEN,EX_006,building,building_aggregate,ex_uten
2041,TEN,EX_006,building,building_aggregate,ex_uten
2042,TEN,EX_006,building,building_aggregate,ex_uten
2043,TEN,EX_006,building,building_aggregate,ex_uten
2044,TEN,EX_006,building,building_aggregate,ex_uten
2045,TEN,EX_006,building,building_aggregate,ex_uten
2046,TEN,EX_006,building,building_aggregate,ex_uten
2047,TEN,EX_006,building,building_aggregate,ex_uten
2048,TEN,EX_006,building,building_aggregate,ex_uten
2049,TEN,EX_006,building,building_aggregate,ex_uten
2025,GAS,EX_007,building,building_aggregate,ex_uten
2026,GAS,EX_007,building,building_aggregate,ex_uten
2027,GAS,EX_007,building,building_aggregate,ex_uten
2028,GAS,EX_007,building,building_aggregate,ex_uten
2029,GAS,EX_007,building,building_aggregate,ex_uten
2030,TEN,EX_007,building,building_aggregate,ex_uten
2031,TEN,EX_007,building,building_aggregate,ex_uten
2032,TEN,EX_007,building,building_aggregate,ex_uten
2033,TEN,EX_007,building,building_aggregate,ex_uten
2034,TEN,EX_007,building,building_aggregate,ex_uten
2035,TEN,EX_007,building,building_aggregate,ex_uten
2036,TEN,EX_007,building,building_aggregate,ex_uten
2037,TEN,EX_007,building,building_aggregate,ex_uten
2038,TEN,EX_007,building,building_aggregate,ex_uten
2039,TEN,EX_007,building,building_aggregate,ex_uten
2040,TEN,EX_007,building,building_aggregate,ex_uten
2041,TEN,EX_007,building,building_aggregate,ex_uten
2042,TEN,EX_007,building,building_aggregate,ex_uten
2043,TEN,EX_007,building,building_aggregate,ex_uten
2044,TEN,EX_007,building,building_aggregate,ex_uten
2045,TEN,EX_007,building,building_aggregate,ex_uten
2046,TEN,EX_007,building,building_aggregate,ex_uten
2047,TEN,EX_007,building,building_aggregate,ex_uten
2048,TEN,EX_007,building,building_aggregate,ex_uten
2049,TEN,EX_007,building,building_aggregate,ex_uten
2025,GAS,EX_008,building,building_aggregate,ex_uten
2026,GAS,EX_008,building,building_aggregate,ex_uten
2027,GAS,EX_008,building,building_aggregate,ex_uten
2028,GAS,EX_008,building,building_aggregate,ex_uten
2029,GAS,EX_008,building,building_aggregate,ex_uten
2030,TEN,EX_008,building,building_aggregate,ex_uten
2031,TEN,EX_008,building,building_aggregate,ex_uten
2032,TEN,EX_008,building,building_aggregate,ex_uten
2033,TEN,EX_008,building,building_aggregate,ex_uten
2034,TEN,EX_008,building,building_aggregate,ex_uten
2035,TEN,EX_008,building,building_aggregate,ex_uten
2036,TEN,EX_008,building,building_aggregate,ex_uten
2037,TEN,EX_008,building,building_aggregate,ex_uten
2038,TEN,EX_008,building,building_aggregate,ex_uten
2039,TEN,EX_008,building,building_aggregate,ex_uten
2040,TEN,EX_008,building,building_aggregate,ex_uten
2041,TEN,EX_008,building,building_aggregate,ex_uten
2042,TEN,EX_008,building,building_aggregate,ex_uten
2043,TEN,EX_008,building,building_aggregate,ex_uten
2044,TEN,EX_008,building,building_aggregate,ex_uten
2045,TEN,EX_008,building,building_aggregate,ex_uten
2046,TEN,EX_008,building,building_aggregate,ex_uten
2047,TEN,EX_008,building,building_aggregate,ex_uten
2048,TEN,EX_008,building,building_aggregate,ex_uten
2049,TEN,EX_008,building,building_aggregate,ex_uten
2025,GAS,EX_009,building,building_aggregate,ex_uten
2026,GAS,EX_009,building,building_aggregate,ex_uten
2027,GAS,EX_009,building,building_aggregate,ex_uten
2028,GAS,EX_009,building,building_aggregate,ex_uten
2029,GAS,EX_009,building,building_aggregate,ex_uten
2030,TEN,EX_009,building,building_aggregate,ex_uten
2031,TEN,EX_009,building,building_aggregate,ex_uten
2032,TEN,EX_009,building,building_aggregate,ex_uten
2033,TEN,EX_009,building,building_aggregate,ex_uten
2034,TEN,EX_009,building,building_aggregate,ex_uten
2035,TEN,EX_009,building,building_aggregate,ex_uten
2036,TEN,EX_009,building,building_aggregate,ex_uten
2037,TEN,EX_009,building,building_aggregate,ex_uten
2038,TEN,EX_009,building,building_aggregate,ex_uten
2039,TEN,EX_009,building,building_aggregate,ex_uten
2040,TEN,EX_009,building,building_aggregate,ex_uten
2041,TEN,EX_009,building,building_aggregate,ex_uten
2042,TEN,EX_009,building,building_aggregate,ex_uten
2043,TEN,EX_009,building,building_aggregate,ex_uten
2044,TEN,EX_009,building,building_aggregate,ex_uten
2045,TEN,EX_009,building,building_aggregate,ex_uten
2046,TEN,EX_009,building,building_aggregate,ex_uten
2047,TEN,EX_009,building,building_aggregate,ex_uten
2048,TEN,EX_009,building,building_aggregate,ex_uten
2049,TEN,EX_009,building,building_aggregate,ex_uten
2025,GAS,EX_010,building,building_aggregate,ex_uten
2026,GAS,EX_010,building,building_aggregate,ex_uten
2027,GAS,EX_010,building,building_aggregate,ex_uten
2028,GAS,EX_010,building,building_aggregate,ex_uten
2029,GAS,EX_010,building,building_aggregate,ex_uten
2030,TEN,EX_010,building,building_aggregate,ex_uten
2031,TEN,EX_010,building,building_aggregate,ex_uten
2032,TEN,EX_010,building,building_aggregate,ex_uten
2033,TEN,EX_010,building,building_aggregate,ex_uten
2034,TEN,EX_010,building,building_aggregate,ex_uten
2035,TEN,EX_010,building,building_aggregate,ex_uten
2036,TEN,EX_010,building,building_aggregate,ex_uten
2037,TEN,EX_010,building,building_aggregate,ex_uten
2038,TEN,EX_010,building,building_aggregate,ex_uten
2039,TEN,EX_010,building,building_aggregate,ex_uten
2040,TEN,EX_010,building,building_aggregate,ex_uten
2041,TEN,EX_010,building,building_aggregate,ex_uten
2042,TEN,EX_010,building,building_aggregate,ex_uten
2043,TEN,EX_010,building,building_aggregate,ex_uten
2044,TEN,EX_010,building,building_aggregate,ex_uten
2045,TEN,EX_010,building,building_aggregate,ex_uten
2046,TEN,EX_010,building,building_aggregate,ex_uten
2047,TEN,EX_010,building,building_aggregate,ex_uten
2048,TEN,EX_010,building,building_aggregate,ex_uten
2049,TEN,EX_010,building,building_aggregate,ex_uten
2025,GAS,EX_011,building,building_aggregate,ex_uten
2026,GAS,EX_011,building,building_aggregate,ex_uten
2027,GAS,EX_011,building,building_aggregate,ex_uten
2028,GAS,EX_011,building,building_aggregate,ex_uten
2029,GAS,EX_011,building,building_aggregate,ex_uten
2030,TEN,EX_011,building,building_aggregate,ex_uten
2031,TEN,EX_011,building,building_aggregate,ex_uten
2032,TEN,EX_011,building,building_aggregate,ex_uten
2033,TEN,EX_011,building,building_aggregate,ex_uten
2034,TEN,EX_011,building,building_aggregate,ex_uten
2035,TEN,EX_011,building,building_aggregate,ex_uten
2036,TEN,EX_011,building,building_aggregate,ex_uten
2037,TEN,EX_011,building,building_aggregate,ex_uten
2038,TEN,EX_011,building,building_aggregate,ex_uten
2039,TEN,EX_011,building,building_aggregate,ex_uten
2040,TEN,EX_011,building,building_aggregate,ex_uten
2041,TEN,EX_011,building,building_aggregate,ex_uten
2042,TEN,EX_011,building,building_aggregate,ex_uten
2043,TEN,EX_011,building,building_aggregate,ex_uten
2044,TEN,EX_011,building,building_aggregate,ex_uten
2045,TEN,EX_011,building,building_aggregate,ex_uten
2046,TEN,EX_011,building,building_aggregate,ex_uten
2047,TEN,EX_011,building,building_aggregate,ex_uten
2048,TEN,EX_011,building,building_aggregate,ex_uten
2049,TEN,EX_011,building,building_aggregate,ex_uten
2025,GAS,EX_012,building,building_aggregate,ex_uten
2026,GAS,EX_012,building,building_aggregate,ex_uten
2027,GAS,EX_012,building,building_aggregate,ex_uten
2028,GAS,EX_012,building,building_aggregate,ex_uten
2029,GAS,EX_012,building,building_aggregate,ex_uten
2030,TEN,EX_012,building,building_aggregate,ex_uten
2031,TEN,EX_012,building,building_aggregate,ex_uten
2032,TEN,EX_012,building,building_aggregate,ex_uten
2033,TEN,EX_012,building,building_aggregate,ex_uten
2034,TEN,EX_012,building,building_aggregate,ex_uten
2035,TEN,EX_012,building,building_aggregate,ex_uten
2036,TEN,EX_012,building,building_aggregate,ex_uten
2037,TEN,EX_012,building,building_aggregate,ex_uten
2038,TEN,EX_012,building,building_aggregate,ex_uten
2039,TEN,EX_012,building,building_aggregate,ex_uten
2040,TEN,EX_012,building,building_aggregate,ex_uten
2041,TEN,EX_012,building,building_aggregate,ex_uten
2042,TEN,EX_012,building,building_aggregate,ex_uten
2043,TEN,EX_012,building,building_aggregate,ex_uten
2044,TEN,EX_012,building,building_aggregate,ex_uten
2045,TEN,EX_012,building,building_aggregate,ex_uten
2046,TEN,EX_012,building,building_aggregate,ex_uten
2047,TEN,EX_012,building,building_aggregate,ex_uten
2048,TEN,EX_012,building,building_aggregate,ex_uten
2049,TEN,EX_012,building,building_aggregate,ex_uten
2025,GAS,EX_013,building,building_aggregate,ex_uten
2026,GAS,EX_013,building,building_aggregate,ex_uten
2027,GAS,EX_013,building,building_aggregate,ex_uten
2028,GAS,EX_013,building,building_aggregate,ex_uten
2029,GAS,EX_013,building,building_aggregate,ex_uten
2030,TEN,EX_013,building,building_aggregate,ex_uten
2031,TEN,EX_013,building,building_aggregate,ex_uten
2032,TEN,EX_013,building,building_aggregate,ex_uten
2033,TEN,EX_013,building,building_aggregate,ex_uten
2034,TEN,EX_013,building,building_aggregate,ex_uten
2035,TEN,EX_013,building,building_aggregate,ex_uten
2036,TEN,EX_013,building,building_aggregate,ex_uten
2037,TEN,EX_013,building,building_aggregate,ex_uten
2038,TEN,EX_013,building,building_aggregate,ex_uten
2039,TEN,EX_013,building,building_aggregate,ex_uten
2040,TEN,EX_013,building,building_aggregate,ex_uten
2041,TEN,EX_013,building,building_aggregate,ex_uten
2042,TEN,EX_013,building,building_aggregate,ex_uten
2043,TEN,EX_013,building,building_aggregate,ex_uten
2044,TEN,EX_013,building,building_aggregate,ex_uten
2045,TEN,EX_013,building,building_aggregate,ex_uten
2046,TEN,EX_013,building,building_aggregate,ex_uten
2047,TEN,EX_013,building,building_aggregate,ex_uten
2048,TEN,EX_013,building,building_aggregate,ex_uten
2049,TEN,EX_013,building,building_aggregate,ex_uten
2025,GAS,EX_014,building,building_aggregate,ex_uten
2026,GAS,EX_014,building,building_aggregate,ex_uten
2027,GAS,EX_014,building,building_aggregate,ex_uten
2028,GAS,EX_014,building,building_aggregate,ex_uten
2029,GAS,EX_014,building,building_aggregate,ex_uten
2030,TEN,EX_014,building,building_aggregate,ex_uten
2031,TEN,EX_014,building,building_aggregate,ex_uten
2032,TEN,EX_014,building,building_aggregate,ex_uten
2033,TEN,EX_014,building,building_aggregate,ex_uten
2034,TEN,EX_014,building,building_aggregate,ex_uten
2035,TEN,EX_014,building,building_aggregate,ex_uten
2036,TEN,EX_014,building,building_aggregate,ex_uten
2037,TEN,EX_014,building,building_aggregate,ex_uten
2038,TEN,EX_014,building,building_aggregate,ex_uten
2039,TEN,EX_014,building,building_aggregate,ex_uten
2040,TEN,EX_014,building,building_aggregate,ex_uten
2041,TEN,EX_014,building,building_aggregate,ex_uten
2042,TEN,EX_014,building,building_aggregate,ex_uten
2043,TEN,EX_014,building,building_aggregate,ex_uten
2044,TEN,EX_014,building,building_aggregate,ex_uten
2045,TEN,EX_014,building,building_aggregate,ex_uten
2046,TEN,EX_014,building,building_aggregate,ex_uten
2047,TEN,EX_014,building,building_aggregate,ex_uten
2048,TEN,EX_014,building,building_aggregate,ex_uten
2049,TEN,EX_014,building,building_aggregate,ex_uten
2025,GAS,EX_015,building,building_aggregate,ex_uten
2026,GAS,EX_015,building,building_aggregate,ex_uten
2027,GAS,EX_015,building,building_aggregate,ex_uten
2028,GAS,EX_015,building,building_aggregate,ex_uten
2029,GAS,EX_015,building,building_aggregate,ex_uten
2030,TEN,EX_015,building,building_aggregate,ex_uten
2031,TEN,EX_015,building,building_aggregate,ex_uten
2032,TEN,EX_015,building,building_aggregate,ex_uten
2033,TEN,EX_015,building,building_aggregate,ex_uten
2034,TEN,EX_015,building,building_aggregate,ex_uten
2035,TEN,EX_015,building,building_aggregate,ex_uten
2036,TEN,EX_015,building,building_aggregate,ex_uten
2037,TEN,EX_015,building,building_aggregate,ex_uten
2038,TEN,EX_015,building,building_aggregate,ex_uten
2039,TEN,EX_015,building,building_aggregate,ex_uten
2040,TEN,EX_015,building,building_aggregate,ex_uten
2041,TEN,EX_015,building,building_aggregate,ex_uten
2042,TEN,EX_015,building,building_aggregate,ex_uten
2043,TEN,EX_015,building,building_aggregate,ex_uten
2044,TEN,EX_015,building,building_aggregate,ex_uten
2045,TEN,EX_015,building,building_aggregate,ex_uten
2046,TEN,EX_015,building,building_aggregate,ex_uten
2047,TEN,EX_015,building,building_aggregate,ex_uten
2048,TEN,EX_015,building,building_aggregate,ex_uten
2049,TEN,EX_015,building,building_aggregate,ex_uten
2025,GAS,EX_016,building,building_aggregate,ex_uten
2026,GAS,EX_016,building,building_aggregate,ex_uten
2027,GAS,EX_016,building,building_aggregate,ex_uten
2028,GAS,EX_016,building,building_aggregate,ex_uten
2029,GAS,EX_016,building,building_aggregate,ex_uten
2030,TEN,EX_016,building,building_aggregate,ex_uten
2031,TEN,EX_016,building,building_aggregate,ex_uten
2032,TEN,EX_016,building,building_aggregate,ex_uten
2033,TEN,EX_016,building,building_aggregate,ex_uten
2034,TEN,EX_016,building,building_aggregate,ex_uten
2035,TEN,EX_016,building,building_aggregate,ex_uten
2036,TEN,EX_016,building,building_aggregate,ex_uten
2037,TEN,EX_016,building,building_aggregate,ex_uten
2038,TEN,EX_016,building,building_aggregate,ex_uten
2039,TEN,EX_016,building,building_aggregate,ex_uten
2040,TEN,EX_016,building,building_aggregate,ex_uten
2041,TEN,EX_016,building,building_aggregate,ex_uten
2042,TEN,EX_016,building,building_aggregate,ex_uten
2043,TEN,EX_016,building,building_aggregate,ex_uten
2044,TEN,EX_016,building,building_aggregate,ex_uten
2045,TEN,EX_016,building,building_aggregate,ex_uten
2046,TEN,EX_016,building,building_aggregate,ex_uten
2047,TEN,EX_016,building,building_aggregate,ex_uten
2048,TEN,EX_016,building,building_aggregate,ex_uten
2049,TEN,EX_016,building,building_aggregate,ex_uten
2025,GAS,EX_017,building,building_aggregate,ex_uten
2026,GAS,EX_017,building,building_aggregate,ex_uten
2027,GAS,EX_017,building,building_aggregate,ex_uten
2028,GAS,EX_017,building,building_aggregate,ex_uten
2029,GAS,EX_017,building,building_aggregate,ex_uten
2030,TEN,EX_017,building,building_aggregate,ex_uten
2031,TEN,EX_017,building,building_aggregate,ex_uten
2032,TEN,EX_017,building,building_aggregate,ex_uten
2033,TEN,EX_017,building,building_aggregate,ex_uten
2034,TEN,EX_017,building,building_aggregate,ex_uten
2035,TEN,EX_017,building,building_aggregate,ex_uten
2036,TEN,EX_017,building,building_aggregate,ex_uten
2037,TEN,EX_017,building,building_aggregate,ex_uten
2038,TEN,EX_017,building,building_aggregate,ex_uten
2039,TEN,EX_017,building,building_aggregate,ex_uten
2040,TEN,EX_017,building,building_aggregate,ex_uten
2041,TEN,EX_017,building,building_aggregate,ex_uten
2042,TEN,EX_017,building,building_aggregate,ex_uten
2043,TEN,EX_017,building,building_aggregate,ex_uten
2044,TEN,EX_017,building,building_aggregate,ex_uten
2045,TEN,EX_017,building,building_aggregate,ex_uten
2046,TEN,EX_017,building,building_aggregate,ex_uten
2047,TEN,EX_017,building,building_aggregate,ex_uten
2048,TEN,EX_017,building,building_aggregate,ex_uten
2049,TEN,EX_017,building,building_aggregate,ex_uten
2025,GAS,EX_018,building,building_aggregate,ex_uten
2026,GAS,EX_018,building,building_aggregate,ex_uten
2027,GAS,EX_018,building,building_aggregate,ex_uten
2028,GAS,EX_018,building,building_aggregate,ex_uten
2029,GAS,EX_018,building,building_aggregate,ex_uten
2030,TEN,EX_018,building,building_aggregate,ex_uten
2031,TEN,EX_018,building,building_aggregate,ex_uten
2032,TEN,EX_018,building,building_aggregate,ex_uten
2033,TEN,EX_018,building,building_aggregate,ex_uten
2034,TEN,EX_018,building,building_aggregate,ex_uten
2035,TEN,EX_018,building,building_aggregate,ex_uten
2036,TEN,EX_018,building,building_aggregate,ex_uten
2037,TEN,EX_018,building,building_aggregate,ex_uten
2038,TEN,EX_018,building,building_aggregate,ex_uten
2039,TEN,EX_018,building,building_aggregate,ex_uten
2040,TEN,EX_018,building,building_aggregate,ex_uten
2041,TEN,EX_018,building,building_aggregate,ex_uten
2042,TEN,EX_018,building,building_aggregate,ex_uten
2043,TEN,EX_018,building,building_aggregate,ex_uten
2044,TEN,EX_018,building,building_aggregate,ex_uten
2045,TEN,EX_018,building,building_aggregate,ex_uten
2046,TEN,EX_018,building,building_aggregate,ex_uten
2047,TEN,EX_018,building,building_aggregate,ex_uten
2048,TEN,EX_018,building,building_aggregate,ex_uten
2049,TEN,EX_018,building,building_aggregate,ex_uten
2025,GAS,EX_019,building,building_aggregate,ex_uten
2026,GAS,EX_019,building,building_aggregate,ex_uten
2027,GAS,EX_019,building,building_aggregate,ex_uten
2028,GAS,EX_019,building,building_aggregate,ex_uten
2029,GAS,EX_019,building,building_aggregate,ex_uten
2030,TEN,EX_019,building,building_aggregate,ex_uten
2031,TEN,EX_019,building,building_aggregate,ex_uten
2032,TEN,EX_019,building,building_aggregate,ex_uten
2033,TEN,EX_019,building,building_aggregate,ex_uten
2034,TEN,EX_019,building,building_aggregate,ex_uten
2035,TEN,EX_019,building,building_aggregate,ex_uten
2036,TEN,EX_019,building,building_aggregate,ex_uten
2037,TEN,EX_019,building,building_aggregate,ex_uten
2038,TEN,EX_019,building,building_aggregate,ex_uten
2039,TEN,EX_019,building,building_aggregate,ex_uten
2040,TEN,EX_019,building,building_aggregate,ex_uten
2041,TEN,EX_019,building,building_aggregate,ex_uten
2042,TEN,EX_019,building,building_aggregate,ex_uten
2043,TEN,EX_019,building,building_aggregate,ex_uten
2044,TEN,EX_019,building,building_aggregate,ex_uten
2045,TEN,EX_019,building,building_aggregate,ex_uten
2046,TEN,EX_019,building,building_aggregate,ex_uten
2047,TEN,EX_019,building,building_aggregate,ex_uten
2048,TEN,EX_019,building,building_aggregate,ex_uten
2049,TEN,EX_019,building,building_aggregate,ex_uten
2025,GAS,EX_020,building,building_aggregate,ex_uten
2026,GAS,EX_020,building,building_aggregate,ex_uten
2027,GAS,EX_020,building,building_aggregate,ex_uten
2028,GAS,EX_020,building,building_aggregate,ex_uten
2029,GAS,EX_020,building,building_aggregate,ex_uten
