LUC,DESC,USE_CLASS,mapping_label
121,OLD STYLE,Large Residential,121 - OLD STYLE
121,4-8 FAMILY,Large Residential,121 - 4-8 FAMILY
121,APRTMNT-GN,Large Residential,121 - APRTMNT-GN
130,,Large Residential,130 - 
130,CAPE,Large Residential,130 - CAPE
131,,Large Residential,131 - 
132,,Large Residential,132 - 
132,UTIL BLDG,Commercial,132 - UTIL BLDG
140,SCHOOL,Commercial,140 - SCHOOL
300,HOTEL,Commercial,300 - HOTEL
301,OFFICE,Commercial,301 - OFFICE
301,MOTEL,Commercial,301 - MOTEL
304,NURSING HM,Commercial,304 - NURSING HM
311,REPAIR GAR,Commercial,311 - REPAIR GAR
314,TRUCK TERM,Commercial,314 - TRUCK TERM
316,WAREHOUSE,Commercial,316 - WAREHOUSE
316,STORE,Commercial,316 - STORE
316,R/M SHOP,Commercial,316 - R/M SHOP
316,GARAGE,Commercial,316 - GARAGE
316,MILL,Commercial,316 - MILL
316,,Commercial,316 - 
316,REPAIR GAR,Commercial,316 - REPAIR GAR
316,COMM BLOCK,Commercial,316 - COMM BLOCK
316,INDUST-LT,Commercial,316 - INDUST-LT
321,STORE,Commercial,321 - STORE
321,WAREHOUSE,Commercial,321 - WAREHOUSE
323,SHOP CTR,Commercial,323 - SHOP CTR
323,SHOP PLAZA,Commercial,323 - SHOP PLAZA
323,PARKING,Commercial,323 - PARKING
323,SHOP MALL,Commercial,323 - SHOP MALL
323,DEPT STORE,Commercial,323 - DEPT STORE
324,STORE,Commercial,324 - STORE
324,SUPER MKT,Commercial,324 - SUPER MKT
325,STORE,Commercial,325 - STORE
325,COMM BLOCK,Commercial,325 - COMM BLOCK
325,CONVEN MKT,Commercial,325 - CONVEN MKT
325,WAREHOUSE,Commercial,325 - WAREHOUSE
325,COLONIAL,Commercial,325 - COLONIAL
325,MX USE APT,Commercial,325 - MX USE APT
325,RESTAURANT,Restaurant,325 - RESTAURANT
325,GARAGE,Commercial,325 - GARAGE
326,BAR,Restaurant,326 - BAR
326,FAST FOOD,Restaurant,326 - FAST FOOD
326,TAKE OUT,Restaurant,326 - TAKE OUT
326,RESTAURANT,Restaurant,326 - RESTAURANT
326,COMM BLOCK,Commercial,326 - COMM BLOCK
326,BANQUET,Restaurant,326 - BANQUET
326,MILL,Commercial,326 - MILL
330,REPAIR GAR,Commercial,330 - REPAIR GAR
330,OFFICE,Commercial,330 - OFFICE
330,,Commercial,330 - 
330,AUTO DEALR,Commercial,330 - AUTO DEALR
331,COMM BLOCK,Commercial,331 - COMM BLOCK
331,STORE,Commercial,331 - STORE
331,REPAIR GAR,Commercial,331 - REPAIR GAR
332,REPAIR GAR,Commercial,332 - REPAIR GAR
332,R/M SHOP,Commercial,332 - R/M SHOP
332,GARAGE,Commercial,332 - GARAGE
332,,Commercial,332 - 
333,STORE,Commercial,333 - STORE
333,CONVEN MKT,Commercial,333 - CONVEN MKT
333,SERVICE ST,Commercial,333 - SERVICE ST
333,,Commercial,333 - 
334,SERVICE ST,Commercial,334 - SERVICE ST
334,CONVEN MKT,Commercial,334 - CONVEN MKT
334,REPAIR GAR,Commercial,334 - REPAIR GAR
335,CAR WASH,Commercial,335 - CAR WASH
337,,Commercial,337 - 
338,AUTO DEALR,Commercial,338 - AUTO DEALR
338,,Commercial,338 - 
338,GARAGE,Commercial,338 - GARAGE
338,REPAIR GAR,Commercial,338 - REPAIR GAR
340,OFFICE,Commercial,340 - OFFICE
340,COLONIAL,Commercial,340 - COLONIAL
340,COMM BLOCK,Commercial,340 - COMM BLOCK
340,STORE,Commercial,340 - STORE
340,OFFICE-PRO,Commercial,340 - OFFICE-PRO
340,MX USE < 9,Commercial,340 - MX USE < 9
