year,consumption_costs,asset_id,energy_type,asset_domain,asset_type,scenario
2039,2863.338883016292,F_350460_2902490,natural_gas,building,building_aggregate,hybrid_gas
2040,2958.6079347408995,F_350460_2902490,natural_gas,building,building_aggregate,hybrid_gas
2041,3058.264801846112,F_350460_2902490,natural_gas,building,building_aggregate,hybrid_gas
2042,3162.5175779673987,F_350460_2902490,natural_gas,building,building_aggregate,hybrid_gas
2043,3271.584493997433,F_350460_2902490,natural_gas,building,building_aggregate,hybrid_gas
2044,3385.694270506064,F_350460_2902490,natural_gas,building,building_aggregate,hybrid_gas
2045,3505.086760388533,F_350460_2902490,natural_gas,building,building_aggregate,hybrid_gas
2046,3630.0133842078017,F_350460_2902490,natural_gas,building,building_aggregate,hybrid_gas
2047,3760.737793573348,F_350460_2902490,natural_gas,building,building_aggregate,hybrid_gas
2048,3897.53645159761,F_350460_2902490,natural_gas,building,building_aggregate,hybrid_gas
2049,4040.699171891259,F_350460_2902490,natural_gas,building,building_aggregate,hybrid_gas
2050,4190.529906325514,F_350460_2902490,natural_gas,building,building_aggregate,hybrid_gas
2051,4347.3473254885885,F_350460_2902490,natural_gas,building,building_aggregate,hybrid_gas
2052,4511.485647909182,F_350460_2902490,natural_gas,building,building_aggregate,hybrid_gas
2053,4683.295324165862,F_350460_2902490,natural_gas,building,building_aggregate,hybrid_gas
2054,4863.143824649384,F_350460_2902490,natural_gas,building,building_aggregate,hybrid_gas
2055,5051.4165517085285,F_350460_2902490,natural_gas,building,building_aggregate,hybrid_gas
2056,5248.517668873597,F_350460_2902490,natural_gas,building,building_aggregate,hybrid_gas
2057,5454.871054463431,F_350460_2902490,natural_gas,building,building_aggregate,hybrid_gas
2058,5670.9212344618345,F_350460_2902490,natural_gas,building,building_aggregate,hybrid_gas
2059,5897.134398316358,F_350460_2902490,natural_gas,building,building_aggregate,hybrid_gas
2060,6133.999539120599,F_350460_2902490,natural_gas,building,building_aggregate,hybrid_gas
2061,6382.029469412978,F_350460_2902490,natural_gas,building,building_aggregate,hybrid_gas
2062,6641.762106473159,F_350460_2902490,natural_gas,building,building_aggregate,hybrid_gas
2063,6913.761591773758,F_350460_2902490,natural_gas,building,building_aggregate,hybrid_gas
2064,7198.619679929692,F_350460_2902490,natural_gas,building,building_aggregate,hybrid_gas
2065,7496.957065455776,F_350460_2902490,natural_gas,building,building_aggregate,hybrid_gas
2020,0.0,F_350460_2902490,propane,building,building_aggregate,hybrid_gas
2021,0.0,F_350460_2902490,propane,building,building_aggregate,hybrid_gas
2022,0.0,F_350460_2902490,propane,building,building_aggregate,hybrid_gas
2023,0.0,F_350460_2902490,propane,building,building_aggregate,hybrid_gas
2024,0.0,F_350460_2902490,propane,building,building_aggregate,hybrid_gas
2025,0.0,F_350460_2902490,propane,building,building_aggregate,hybrid_gas
2026,0.0,F_350460_2902490,propane,building,building_aggregate,hybrid_gas
2027,0.0,F_350460_2902490,propane,building,building_aggregate,hybrid_gas
2028,0.0,F_350460_2902490,propane,building,building_aggregate,hybrid_gas
2029,0.0,F_350460_2902490,propane,building,building_aggregate,hybrid_gas
2030,0.0,F_350460_2902490,propane,building,building_aggregate,hybrid_gas
2031,0.0,F_350460_2902490,propane,building,building_aggregate,hybrid_gas
2032,0.0,F_350460_2902490,propane,building,building_aggregate,hybrid_gas
2033,0.0,F_350460_2902490,propane,building,building_aggregate,hybrid_gas
2034,0.0,F_350460_2902490,propane,building,building_aggregate,hybrid_gas
