year,is_retrofit,asset_id,asset_domain,asset_type,scenario
2056,True,F_350460_2902490,building,building_aggregate,hybrid_gas
2057,True,F_350460_2902490,building,building_aggregate,hybrid_gas
2058,True,F_350460_2902490,building,building_aggregate,hybrid_gas
2059,True,F_350460_2902490,building,building_aggregate,hybrid_gas
2060,True,F_350460_2902490,building,building_aggregate,hybrid_gas
2061,True,F_350460_2902490,building,building_aggregate,hybrid_gas
2062,True,F_350460_2902490,building,building_aggregate,hybrid_gas
2063,True,F_350460_2902490,building,building_aggregate,hybrid_gas
2064,True,F_350460_2902490,building,building_aggregate,hybrid_gas
2065,True,F_350460_2902490,building,building_aggregate,hybrid_gas
2020,False,F_350459_2902427,building,building_aggregate,hybrid_gas
2021,False,F_350459_2902427,building,building_aggregate,hybrid_gas
2022,False,F_350459_2902427,building,building_aggregate,hybrid_gas
2023,False,F_350459_2902427,building,building_aggregate,hybrid_gas
2024,False,F_350459_2902427,building,building_aggregate,hybrid_gas
2025,False,F_350459_2902427,building,building_aggregate,hybrid_gas
2026,False,F_350459_2902427,building,building_aggregate,hybrid_gas
2027,False,F_350459_2902427,building,building_aggregate,hybrid_gas
2028,False,F_350459_2902427,building,building_aggregate,hybrid_gas
2029,False,F_350459_2902427,building,building_aggregate,hybrid_gas
2030,False,F_350459_2902427,building,building_aggregate,hybrid_gas
2031,False,F_350459_2902427,building,building_aggregate,hybrid_gas
2032,False,F_350459_2902427,building,building_aggregate,hybrid_gas
2033,False,F_350459_2902427,building,building_aggregate,hybrid_gas
2034,False,F_350459_2902427,building,building_aggregate,hybrid_gas
2035,False,F_350459_2902427,building,building_aggregate,hybrid_gas
2036,False,F_350459_2902427,building,building_aggregate,hybrid_gas
2037,False,F_350459_2902427,building,building_aggregate,hybrid_gas
2038,False,F_350459_2902427,building,building_aggregate,hybrid_gas
2039,False,F_350459_2902427,building,building_aggregate,hybrid_gas
2040,False,F_350459_2902427,building,building_aggregate,hybrid_gas
2041,True,F_350459_2902427,building,building_aggregate,hybrid_gas
2042,True,F_350459_2902427,building,building_aggregate,hybrid_gas
2043,True,F_350459_2902427,building,building_aggregate,hybrid_gas
2044,True,F_350459_2902427,building,building_aggregate,hybrid_gas
2045,True,F_350459_2902427,building,building_aggregate,hybrid_gas
2046,True,F_350459_2902427,building,building_aggregate,hybrid_gas
2047,True,F_350459_2902427,building,building_aggregate,hybrid_gas
2048,True,F_350459_2902427,building,building_aggregate,hybrid_gas
2049,True,F_350459_2902427,building,building_aggregate,hybrid_gas
