year,consumption,asset_id,energy_type,asset_domain,asset_type,scenario
2047,0.0,F_714592_2938902,fuel_oil,building,building_aggregate,hybrid_gas
2048,0.0,F_714592_2938902,fuel_oil,building,building_aggregate,hybrid_gas
2049,0.0,F_714592_2938902,fuel_oil,building,building_aggregate,hybrid_gas
2050,0.0,F_714592_2938902,fuel_oil,building,building_aggregate,hybrid_gas
2051,0.0,F_714592_2938902,fuel_oil,building,building_aggregate,hybrid_gas
2052,0.0,F_714592_2938902,fuel_oil,building,building_aggregate,hybrid_gas
2053,0.0,F_714592_2938902,fuel_oil,building,building_aggregate,hybrid_gas
2054,0.0,F_714592_2938902,fuel_oil,building,building_aggregate,hybrid_gas
2055,0.0,F_714592_2938902,fuel_oil,building,building_aggregate,hybrid_gas
2056,0.0,F_714592_2938902,fuel_oil,building,building_aggregate,hybrid_gas
2057,0.0,F_714592_2938902,fuel_oil,building,building_aggregate,hybrid_gas
2058,0.0,F_714592_2938902,fuel_oil,building,building_aggregate,hybrid_gas
2059,0.0,F_714592_2938902,fuel_oil,building,building_aggregate,hybrid_gas
2060,0.0,F_714592_2938902,fuel_oil,building,building_aggregate,hybrid_gas
2061,0.0,F_714592_2938902,fuel_oil,building,building_aggregate,hybrid_gas
2062,0.0,F_714592_2938902,fuel_oil,building,building_aggregate,hybrid_gas
2063,0.0,F_714592_2938902,fuel_oil,building,building_aggregate,hybrid_gas
2064,0.0,F_714592_2938902,fuel_oil,building,building_aggregate,hybrid_gas
2065,0.0,F_714592_2938902,fuel_oil,building,building_aggregate,hybrid_gas
2020,13570.20035575533,F_714723_2938816,electricity,building,building_aggregate,hybrid_gas
2021,13570.20035575533,F_714723_2938816,electricity,building,building_aggregate,hybrid_gas
2022,13570.20035575533,F_714723_2938816,electricity,building,building_aggregate,hybrid_gas
2023,13570.20035575533,F_714723_2938816,electricity,building,building_aggregate,hybrid_gas
2024,13570.20035575533,F_714723_2938816,electricity,building,building_aggregate,hybrid_gas
2025,13570.20035575533,F_714723_2938816,electricity,building,building_aggregate,hybrid_gas
2026,13570.20035575533,F_714723_2938816,electricity,building,building_aggregate,hybrid_gas
2027,13570.20035575533,F_714723_2938816,electricity,building,building_aggregate,hybrid_gas
2028,13570.20035575533,F_714723_2938816,electricity,building,building_aggregate,hybrid_gas
2029,13570.20035575533,F_714723_2938816,electricity,building,building_aggregate,hybrid_gas
2030,13570.20035575533,F_714723_2938816,electricity,building,building_aggregate,hybrid_gas
2031,13570.20035575533,F_714723_2938816,electricity,building,building_aggregate,hybrid_gas
2032,13570.20035575533,F_714723_2938816,electricity,building,building_aggregate,hybrid_gas
2033,13570.20035575533,F_714723_2938816,electricity,building,building_aggregate,hybrid_gas
2034,13570.20035575533,F_714723_2938816,electricity,building,building_aggregate,hybrid_gas
2035,13570.20035575533,F_714723_2938816,electricity,building,building_aggregate,hybrid_gas
2036,13570.20035575533,F_714723_2938816,electricity,building,building_aggregate,hybrid_gas
2037,13570.20035575533,F_714723_2938816,electricity,building,building_aggregate,hybrid_gas
2038,13570.20035575533,F_714723_2938816,electricity,building,building_aggregate,hybrid_gas
2039,13570.20035575533,F_714723_2938816,electricity,building,building_aggregate,hybrid_gas
2040,17807.375516519387,F_714723_2938816,electricity,building,building_aggregate,hybrid_gas
2041,17807.375516519387,F_714723_2938816,electricity,building,building_aggregate,hybrid_gas
2042,17807.375516519387,F_714723_2938816,electricity,building,building_aggregate,hybrid_gas
2043,17807.375516519387,F_714723_2938816,electricity,building,building_aggregate,hybrid_gas
2044,17807.375516519387,F_714723_2938816,electricity,building,building_aggregate,hybrid_gas
2045,17807.375516519387,F_714723_2938816,electricity,building,building_aggregate,hybrid_gas
2046,17807.375516519387,F_714723_2938816,electricity,building,building_aggregate,hybrid_gas
2047,17807.375516519387,F_714723_2938816,electricity,building,building_aggregate,hybrid_gas
2048,17807.375516519387,F_714723_2938816,electricity,building,building_aggregate,hybrid_gas
2049,17807.375516519387,F_714723_2938816,electricity,building,building_aggregate,hybrid_gas
