year,annual_operating_costs,asset_id,asset_domain,asset_type,scenario
2029,21.306818181818183,GS038,gas_network,gas_service,hybrid_gas
2030,21.306818181818183,GS038,gas_network,gas_service,hybrid_gas
2031,21.306818181818183,GS038,gas_network,gas_service,hybrid_gas
2032,21.306818181818183,GS038,gas_network,gas_service,hybrid_gas
2033,21.306818181818183,GS038,gas_network,gas_service,hybrid_gas
2034,21.306818181818183,GS038,gas_network,gas_service,hybrid_gas
2035,21.306818181818183,GS038,gas_network,gas_service,hybrid_gas
2036,21.306818181818183,GS038,gas_network,gas_service,hybrid_gas
2037,21.306818181818183,GS038,gas_network,gas_service,hybrid_gas
2038,21.306818181818183,GS038,gas_network,gas_service,hybrid_gas
2039,21.306818181818183,GS038,gas_network,gas_service,hybrid_gas
2040,21.306818181818183,GS038,gas_network,gas_service,hybrid_gas
2041,21.306818181818183,GS038,gas_network,gas_service,hybrid_gas
2042,21.306818181818183,GS038,gas_network,gas_service,hybrid_gas
2043,21.306818181818183,GS038,gas_network,gas_service,hybrid_gas
2044,21.306818181818183,GS038,gas_network,gas_service,hybrid_gas
2045,21.306818181818183,GS038,gas_network,gas_service,hybrid_gas
2046,21.306818181818183,GS038,gas_network,gas_service,hybrid_gas
2047,21.306818181818183,GS038,gas_network,gas_service,hybrid_gas
2048,21.306818181818183,GS038,gas_network,gas_service,hybrid_gas
2049,21.306818181818183,GS038,gas_network,gas_service,hybrid_gas
2050,21.306818181818183,GS038,gas_network,gas_service,hybrid_gas
2051,21.306818181818183,GS038,gas_network,gas_service,hybrid_gas
2052,21.306818181818183,GS038,gas_network,gas_service,hybrid_gas
2053,21.306818181818183,GS038,gas_network,gas_service,hybrid_gas
2054,21.306818181818183,GS038,gas_network,gas_service,hybrid_gas
2055,21.306818181818183,GS038,gas_network,gas_service,hybrid_gas
2056,21.306818181818183,GS038,gas_network,gas_service,hybrid_gas
2057,21.306818181818183,GS038,gas_network,gas_service,hybrid_gas
2058,21.306818181818183,GS038,gas_network,gas_service,hybrid_gas
2059,21.306818181818183,GS038,gas_network,gas_service,hybrid_gas
2060,21.306818181818183,GS038,gas_network,gas_service,hybrid_gas
2061,21.306818181818183,GS038,gas_network,gas_service,hybrid_gas
2062,21.306818181818183,GS038,gas_network,gas_service,hybrid_gas
2063,21.306818181818183,GS038,gas_network,gas_service,hybrid_gas
2064,21.306818181818183,GS038,gas_network,gas_service,hybrid_gas
2065,21.306818181818183,GS038,gas_network,gas_service,hybrid_gas
2020,31.25,GS035,gas_network,gas_service,hybrid_gas
2021,31.25,GS035,gas_network,gas_service,hybrid_gas
2022,31.25,GS035,gas_network,gas_service,hybrid_gas
2023,31.25,GS035,gas_network,gas_service,hybrid_gas
2024,31.25,GS035,gas_network,gas_service,hybrid_gas
2025,31.25,GS035,gas_network,gas_service,hybrid_gas
2026,31.25,GS035,gas_network,gas_service,hybrid_gas
2027,31.25,GS035,gas_network,gas_service,hybrid_gas
2028,31.25,GS035,gas_network,gas_service,hybrid_gas
2029,31.25,GS035,gas_network,gas_service,hybrid_gas
2030,31.25,GS035,gas_network,gas_service,hybrid_gas
2031,31.25,GS035,gas_network,gas_service,hybrid_gas
2032,31.25,GS035,gas_network,gas_service,hybrid_gas
2033,31.25,GS035,gas_network,gas_service,hybrid_gas
2034,31.25,GS035,gas_network,gas_service,hybrid_gas
2035,31.25,GS035,gas_network,gas_service,hybrid_gas
2036,31.25,GS035,gas_network,gas_service,hybrid_gas
2037,31.25,GS035,gas_network,gas_service,hybrid_gas
2038,31.25,GS035,gas_network,gas_service,hybrid_gas
2039,31.25,GS035,gas_network,gas_service,hybrid_gas
2040,31.25,GS035,gas_network,gas_service,hybrid_gas
2041,31.25,GS035,gas_network,gas_service,hybrid_gas
2042,31.25,GS035,gas_network,gas_service,hybrid_gas
2043,31.25,GS035,gas_network,gas_service,hybrid_gas
2044,31.25,GS035,gas_network,gas_service,hybrid_gas
2045,31.25,GS035,gas_network,gas_service,hybrid_gas
2046,31.25,GS035,gas_network,gas_service,hybrid_gas
2047,31.25,GS035,gas_network,gas_service,hybrid_gas
2048,31.25,GS035,gas_network,gas_service,hybrid_gas
